content,score,at
"Tolong dong driver atas nama Muhammad Taufik Hidayat suru TF balik uang saya dibawa kabur SM dia , bukan masalah nominal tp kejujuran nya pakkkk , dia blg mau TF balik tp wa saya di blokir sama dia tolongg dong pihakkkk Maxim kondisikan drivernya!!!! Hati2 sama plat nomornya B3848 PNE",1,2024-10-29 03:47:00
lambat,1,2024-10-29 03:06:35
"Ap L1 k4 si t4 i. k4 U kalo ber sai ng, ya n9 se h4t do n9 b4 b1. 3ny 4h k4 U d4 r1 in d0n 3si4. 4p l1ka si b4 b1.",1,2024-10-29 02:47:54
Ajarin pengemudi lo dengan kata yang sopan!,1,2024-10-29 01:43:58
Pindah ke indriver aja lah... lebih enak,1,2024-10-28 23:48:35
Hoaxx dapet bonus tapi gabisa di pake hoaxxx,1,2024-10-28 23:12:08
scam penipu,1,2024-10-28 22:45:21
Kalo gk bisa pake nomor minimal pake google geh,1,2024-10-28 22:30:44
"Sangat"" mengecewakan, Driver banyak betingkah, Kalo gak mau narik baik di off kan aplikasi nya, alasan lagi makan, pecah ban, bilang otw tapi di aplikasi tidak bergerak, sangat"" kurang ajar .. Itu bukan sekali dua kali, Aku sekalipun gak pernh kasih ongkos pass, pasti lebih... Paraahhhh!!!",1,2024-10-28 19:57:46
"Maxim memang bagus. Tapi ketika pesan disana misal tertulis 5 menit sampai. Ditunggu sampai 5 menit Gak maju2 kendaraannya, kesel saya sering begitu. Dan akhirnya nunggu lama lbih dari 5 mnit. Ketikasudah dibatalkan malah datang.",2,2024-10-28 19:33:23
Peta tida muncul..... Yg muncul cuma garis kotak......,1,2024-10-28 16:35:27
"Aneh saya jadi gak bisa login,aplikasi apa ini",1,2024-10-28 16:09:12
Maxim bodoh sumpah. Harga kok berubah rubah terus. Tolol emang. Ganggu aktifitas orang,1,2024-10-28 13:33:06
sadar diri lah penumpang pesan car . udah ac 10.500 kasih nya uang pas kadang 10rb pas parah. gk ngotak harganya,1,2024-10-28 12:33:16
"Tidak berguna alamat lokasi tidak lengkap, susah buat nyari kantor nya ataupun perusahaan, map nya juga suka ga keluar alias gelap, pokonya ga banget deh iwww",1,2024-10-28 12:13:18
"SAYA SBG PENUMPANG KECEWA SEKALI DGN TAXI MAXIM YG KATANYA BISA BYR LWT NON-TUNAI (MAXIM WALLET) MALAH PENGEMUDINYA GATAU CARA TARIK TUNAI DAN GA TERIMA KAMI BAYAR NON TUNAI DIKIRA KAMI YG NIPU. KRN GAMAU RIBUT, AKHIRNYA SY BAYAR 2X BOSS. TOLONG UNTUNG YG MAU DAFTAR MAXIM JD PENGEMUDI DI SELEKSI BENER2 ORG YG KUDET TEKNOLOGI ATAU MMG APLIKASI WALLET MAXIMNYA YG SUSAH BUAT TARIK TUNAI!!!! MAU COMPLAIN DISURUH DTG KE KANTORNYA, WAH MALAH RIBUT NTR DISANA, TIDAK MENERIMA COMPLAIN LWT SOSMED KATANYA",1,2024-10-28 10:31:13
"Driver tidak sopan,memaki maki dengan kata kotor.sangat menyesal menggunakan aplikasi ini.",1,2024-10-28 09:14:57
ngga jelas nih soal pembayaran diaplikasi coustomer sama di driver beda,1,2024-10-28 08:54:59
"Percuma ada promo, promonya gak berlaku Promo 19300, pas bayar dimintai 22000 Nggak benar",1,2024-10-28 08:47:05
saya customer yang turunin di pinggir jalan,1,2024-10-28 08:36:25
"Sejajarkan harga, bersaing yang sehat dooonk",1,2024-10-28 01:27:05
masuk kode nya lemot,1,2024-10-28 00:05:33
Bersaing harga lah secara sehat jangan merusak menjatuhkan harga lokal,1,2024-10-27 22:51:02
Gak jelas nihil pengguna nya dikit ditipu terus mesen makanan malah abang nya minta Transfer deluan Aplikasi nya gak worth it,1,2024-10-27 21:31:33
"Ribet GPS nya ruwet ruwet gak kaya aplikasi lain, ini mah ruwet super ruwet",1,2024-10-27 21:22:40
"Ati ati yg naik dari stasiun pasar turi surabaya ke bungurasih harga gak sesuai argo , di getok dari 50 ke 90 ribu, dengan alsan bayar parkr ,mnding jangan",1,2024-10-27 20:35:06
"Kok driver maxim sekarang banyak gak sopan ya dan seperti calo,harus nya mikir dong coba bayangin kalo kami mulai memakai transportasi umum kembali pasti bakal sepi orderan kalian",1,2024-10-27 20:28:04
"Tolonglah maxim, selama saya pesan makan di aplikasi ini baru dua kali berhasil. Jarang sekali yang mau terima orderan.",1,2024-10-27 18:31:32
Susah banget nyari alamat nya,1,2024-10-27 18:16:12
Sangaat hmmmmmm,1,2024-10-27 18:08:07
up,1,2024-10-27 17:43:37
"Untuk pelayanan si lumayan ok cept jg respon nya , tp saldo vocer yg di kasi sama sekali gak bisa ke pake pdhl saldo sudah terptong",2,2024-10-27 17:06:52
Saya top up 60rb tetapi tidak masuk.,1,2024-10-27 17:06:39
Hoax,1,2024-10-27 17:01:04
Mapnya kotak kotak doang kocak,1,2024-10-27 16:58:09
"Niat hati igin coba pake jasa maxim, tp Cukup sekali pakai maxim, harga yang tertera pada aplikasi tidak sesuai saat pembayaran ke driver nya , driver nya minta tambahan bayar karna jarak driver menjemput saya terlalu jauh kata nya, luruskan dulu sistem nya maxim sama driver nya, di perbolehkan tidak seperti ini ke pelanggan mnta tambahan biaya, ac tidak di nyalakan malah di suruh membuka jendela, sangat sangat tidak nyaman , Gak tau ini apa emang standar nya seperti ini ya?",1,2024-10-27 16:48:32
"Aplikasi terlalu bebas dan tidak terbatas,, jadi banyak driver tanpa atribut dan menyalah gunakan profesi driver untuk tindak kejahatan, keamanan dan standard nya Maxim tidak ada , jadi untuk segi keamanan kurang",1,2024-10-27 15:31:55
"Aneh naik maxim, harga awal 58rb pas tengah jalan tiba2 naik jadi 82rb tanpa sepengetahuan saya, hadiah dari saya bintang 1 aja deh buat maxim.",1,2024-10-27 15:11:35
Apk tolol,1,2024-10-27 15:02:33
"Bingung banget, pertama x naik Maxim itu pun di orderin lewat hp sodara, order Maxim dgn jarak 1.9 km detail harga di aplikasi penumpang 10.500 Begitu sampai lokasi pengemudi bilang harga 23rb tertera d aplikasi😌😌😌",2,2024-10-27 11:56:01
Minimal driver jangan tolol Ngertilah pakai GPS,1,2024-10-27 11:03:19
"Aplikasinya tidak punya fitur chat CS, keluhan pelanggan, dan chat Online.",1,2024-10-27 10:48:50
Titik ga bisa dicari mau masuk pun kode otp tidak bisa,1,2024-10-27 09:26:20
KECEWA BANGET GAK BISA DAFTAR AKUN HAPUUUS,1,2024-10-27 08:03:47
terima kasih sdh antar sampai ke tempat tujuan,1,2024-10-27 07:00:51
Aplikasi Transportasi Yang Bikin Nge Jatohin Harga Argo Tidak Sesuai dengan kilometer Cousteumer bayar ke Maxim Mahal Giliran Maxim Bayar ke Drivernya Murah Banget Gila Udh gitu Tidak ada Asuransi Jiwasraya Terjadi nya kecelakaan lalu lintas terhadap Driver Dan Cousteumer nya....MAXIM PERUSAHAAN RUSIA TER TOLOL DI DUNIA...,1,2024-10-27 06:57:01
Kode otp lama banget masuk nya kecewa berat,1,2024-10-27 01:05:03
"Kecewa saya,saya yang menunggu jemputan driver malah saya yang bayar nunggu hampir satu jam malh kenak biaya mending klo saya yang meminta tunggu ini penjemputan saya saja blom malah disuruh bayar yang ada pelanggan di kasih kopetitas soalnya sudah menunggu driver hampir satu jam🙂‍↔️🙂‍↔️🙂‍↔️",1,2024-10-26 22:53:27
"udah nunggu lama malah di cancel, hadehh",1,2024-10-26 22:07:48
"tidak memuaskan,lama dapat orderan,dan gak bisa di batalin pilihan nya mana cuman untuk mengubah orderan lagi (saya mengorder Makanan)",1,2024-10-26 21:40:56
"Awalnya dri kastamer ,nyoba ikut jdi driver. Setelah menyimak di percakapan umum area bali .driver nya ternyata saling makan teman sendiri alias rasis dan menghina"" sesama driver maxim. ke sesama driver, Dengan kalian berkelakuan seperti itu kastamer akan meninggalkan maxim itu sendiri . Lebih baik sama memakai jasa aplikasi lain klo kelakuan para driver di balinya sangat minus (-) . Kalau developer tidak percaya silahkan masuk ke percakapan Umum di area bali.Lihat sendiri etika mines drivernya",1,2024-10-26 20:07:56
"Delivery dibuat auto aja min, kalo Udah di buat auto tak ganti B5. Biar cepet dapet orderan, delivery express mu gak ada penggunanya",1,2024-10-26 20:00:16
"aplikasi scam, promosiin mulu saldo gratis, tp gapernah bisa kepakai😂😂",1,2024-10-26 18:38:11
"Saldo gak masuk, aplikasi gak jelas. Jelek. Emang paling gampang gojek atau grab. Perbaiki lagi",1,2024-10-26 17:43:04
Admin saldo e-wallet kaspro saya kok blm masuk melalui TF bank CIMB ya,2,2024-10-26 17:33:33
"Pas isi e wallet maxim tf nya udah berhasil tapi gk masuk mau coba hubungi maxim di apk gk ada respon sampai sekarang kecewa sih, jadi no recomend buat pembayaran/top up e wallet maxim pasti gagal terus uang nya gk tau kemana deh aneh",1,2024-10-26 17:20:19
Aplikasi sudah bagus TAPI TOLONG JANGAN BEKERJASAMA DENGAN KASPRO!,1,2024-10-26 16:15:40
Aplikasi bodong GK jelas,1,2024-10-26 15:05:01
"Pertama, isi saldo ke maxim wallet lama bgt masuk nya sampai berhari -hari, abis itu di kirim nya juga ga sesuai saldo nya, seperti pas saya top up. Dan top up yang ke dua, tidak masuk sama sekali saldo nya. Sangat tidak memuaskan!",1,2024-10-26 14:51:10
aplikasi jelek mending si ijo sebelah,1,2024-10-26 14:48:36
Susah login 😪,2,2024-10-26 14:30:42
"Top up lama masuk, ngisi alamat dengan nama jalan susah",1,2024-10-26 13:35:12
Belum gunakannya jd cukup 1 bintang,1,2024-10-26 12:40:07
"Ngisi saldo wallet kaspro berapa eh yang masuk berapa, hadeh 🙄",1,2024-10-26 11:30:01
"maps nya ga jelas cape nyari nyari alamat ga ketemu ktemu,",1,2024-10-26 11:14:48
"Mohon bantuannya kirim kode OTP nya ke nomor telepon saya, sukses selalu ya utk Maxim. tks",1,2024-10-26 09:43:27
Saat ingin memesan food hanya muncul tampilan putih saja,1,2024-10-26 09:29:49
Hancur tak berpihak pada driver,1,2024-10-26 09:09:44
SK gubernur tidak dijalankan,1,2024-10-26 08:34:01
"Mau masuk ke Maxim gk bisa bisa kodenya padahal nomor sudah benarr,,gak guna aplikasinya.",1,2024-10-26 06:07:25
"PENGALAMAN SAYA PESAN MAXIM BBRPA KALI KARNA HARGA LEBIH MURAH DR APK OJOL LAIN, TP PELAYANAN DRIVER SANGAT SANGAT BURUKK DAN TIDAK SOPANN..TDK AKAN PESAN MAXIM LAGI, LEBIH BAIK BAYAR MAHAL DAPAT KUALITAS BAGUS",1,2024-10-26 00:41:54
Ini gimana sih. Mau log in susah bangett. Nomer kode nya ga kekirim kirim. Kalo udah butut tutup aja apk nya!!!,1,2024-10-25 23:37:59
"Masukkan utk kasspro/kasswalletnya sgr diperbaiki lg,sosialisasikan lg ttg kasspro ke pengemudi krn bnyk pengemudi yg tdk paham dg kasspro/kasswallet,hny krn pengemudi tdk paham kasspro jd mengecewakan pengguna. Trm ksh",1,2024-10-25 23:26:17
"Petanya aneh.gak bisa lihat posisi orang yang mesan,",1,2024-10-25 22:34:39
"Kecewa, saldo saya tersedot banyak saat pembayaran ewallet Maxim KasPro, akhirnya saya melakukan pembayarab double, yaitu cash dan saldo tersedot ewallet KasPro",1,2024-10-25 22:13:17
"Saya baru selesai top up maxim wallet, dan saya melakukan nya dari app ovo, pengiriman berhasil tapi saldo maxim wallet tetap kosong",2,2024-10-25 21:28:45
Vertikasi nelpon SMS susah gak keluar apaan coba,1,2024-10-25 19:41:02
Aplikasi TOLOL Order Makanan tapi ga bisa dibatalkan.. Anjinglah... tolong maksimalkan aplikasinya dulu baru terbitkan layanan ke publik,1,2024-10-25 19:03:37
Kerja,1,2024-10-25 18:22:46
"Order telah dipenuhi oleh: Elizaman Natalis Gea dengan Daihatsu Sigra, warna putih, nopol BK1514AES. Terima kasih atas perjalanan Anda! Rating ⭐⭐⭐⭐⭐(4.85",2,2024-10-25 16:48:15
aplikasi tek,1,2024-10-25 16:46:05
Kentut di buuulan,1,2024-10-25 15:28:33
"Untuk wilayah Bali, minta tolong kepada Maxim sebelum menerima driver tolong kasih training dulu karena banyak driver Maxim car yg dibali mengemudi nya berbahaya dan mereka juga kalau bicara seperti tidak ada attitude.",2,2024-10-25 15:12:57
Di baguskan lagi aplikasi Maxim nya,2,2024-10-25 14:37:58
apk Gak smart,1,2024-10-25 14:30:39
ok mntap,1,2024-10-25 12:04:13
"Ribet aplikasinya. Di Kota Medan. Udah nunggu, driver udah dekat, tiba2 hilang lagi, muncul lagi driver lain. Gitu lagi. Gak ada kepastian dalam menunggu. Titik jemput juga tidak sesuai dengan yg dipilih. Ribet pokoknya...",1,2024-10-25 11:38:11
Jelek,1,2024-10-25 11:30:30
Jangan pake maxim drivernya arogan preman semua,1,2024-10-25 11:27:12
Apk taexxxxx,1,2024-10-25 11:19:26
"Ada orang kasi kode promo 200rb tapi pas kita pakai malah tetap bayar, mana 112rb lagi. Sempat orang yang punya uang gmna coba? . minimal g usah kasi promo kalo tidak bisa di pakai!",1,2024-10-25 10:39:13
kalau pagi dapat driver nya lama,2,2024-10-25 07:01:38
"DRIVER MILIH"" HARGA ... TOLONG LAH INI DI TINDAK LANJUTI PARA"" DRIVER NYA KALAU GAK COCOK SAMA KERJAAN NYA GAK USA DI JADIKAN DRIVER KEKGINI KAN MALAH KAMI YG SUSAH BIASA NYA GAMPANG DRIVER INI MALAH 2X BLKNGAN INI SUSAH DAPAT DRIVER PADAHAL DRIVER TERDEKAT BANYAK TAPI GAK MAU DI AMBIL ORDERAN NYA",1,2024-10-24 22:48:28
"Tolong diperbaiki sikap sifat drivernya khusus kota Medan. Istri saya pesan JCO malah diminta nomor WA, Tiba gak dikasih nomor WA malah disuruh membatalkan pesanan.",1,2024-10-24 21:18:41
Gimananini sms otp gak masuk masuk,1,2024-10-24 21:05:53
"Saya baru dapat driver kirim paket total pembayaran 17ribu, tapi mintanya 25rb? Itu bagaimana yah?",1,2024-10-24 18:58:19
"Driver mobil Maxim Nakal² skrng. Order dri PIK-stasiun kota 3 orang masuk mobil dibilang kebanyakan, maximal hanya 2 orang saja dan minta ongkos lebih. Pemilihan jalan yg buruk tanpa bilang² mlh masuk tol bayar 19k yg akhirnya membengkaknya tarif yg tadinya 60k menjadi 100k. Gini amat driver² Maxim sekarang",1,2024-10-24 17:45:20
"Apk goblokkk.. Kok bisa bisa nya akun saya di blokir gara"" Data dan dokumen sama dengan driver/orang lain, ini kan tidak logis... Sedangkan tiap driver aja data nya beda.. Lah ini malah dibilang sama datanya sm driver lain.. Pantes aja ni apk ga laku.. Orang-orang kantor nya aja tolol begini!!!",1,2024-10-24 17:08:20
"Order pertama karena butuh cepat datang telat,harga juga tidak sesuai aplikasi,saat order 18 RB dua porsi 36 ongkos 14 RB,pas udah tiba ongkos dan harga barang jadinya 75 padahal harga barangnya cuma 20rb kalo order manual",2,2024-10-24 14:54:58
Aplikasi SCAM. Dikasih saldo gratis 200.000 dari staff maxim yang pergi ke sekolahan tapi malah gak bisa dipake soalnya pembayaran nontunai masih coming soon. Katanya saldonya hangus setelah 3 bulan ternyata cuma 1 minggu. Di bagian food banyak juga yang udah sold out padahal pas liat platform selain Maxim masih ada stock. Pokoknya kecewa banget sama staff dan aplikasinya,1,2024-10-24 13:55:40
Aplikasi SCAM. Dikasih saldo gratis 200.000 dari staff maxim yang pergi ke sekolahan tapi malah gak bisa dipake soalnya pembayaran nontunai masih coming soon. Katanya saldonya hangus setelah 3 bulan ternyata cuma 1 minggu. Di bagian food banyak juga yang udah sold out padahal pas liat platform selain Maxim masih ada stock. Pokoknya kecewa banget sama staff dan aplikasinya kalo nge scam begini mendingan di hapus aja dari play store.,1,2024-10-24 13:55:01
skemmm,1,2024-10-24 13:48:41
Pengemudi menipu harga order dan memberikan bintang paksa,1,2024-10-24 12:16:04
"Driver online banyak gak ada atribut,motor gak sesuai aplikasi. Woi min seleksi tu driver lo.ojol kayak opang",1,2024-10-24 09:13:20
"Kasih bintang 2 dulu yaa.. Pengisiian maxim wallet kaspronya lambat masuk, padahal cek di aplikasi kaspro dana sudah ada.. Tapi pas buka di aplikasi maxim malah blm ada.. Bikin jengkel. Ngepasin ga ada cash, malah jadi cash pembayarannya.. TOLONG DI PERBAIKI DONG SISTEMNYA. masa top up saldo bisa lama banget masuknya",2,2024-10-24 08:41:42
"Nggak jelas, pesan makanan malah d tunjukkin d kost, sy mau batalin nggak bsa, cma ganti2 driver aja, capeee",1,2024-10-24 08:22:50
Tolol dajal itu respon ibu ibu yang di minta 350rb itu dajjal masa cuma ke senggol dikit sampek minta segitu ngk ngotak babi pajero aja sampek penyok cuma abis 500 tolol,1,2024-10-24 05:49:41
Saya masukan isi ewalet susah ribet,1,2024-10-24 03:47:04
Benar kan dulu itu driver driver mu,1,2024-10-23 23:15:43
"Kepada pihak Maxim,sy sebagai cs kasih masukan,tolong donk pembayaran bs melalui dana,ovo,gopay(non-tunai)yg pengguna ny sudah banyak pakai,gk semua cs pegang uang kes ya,tolong di sampaikan KPD atasan ny..",2,2024-10-23 18:33:39
Mau masuk ada notifikasi masuk 4 angka tapi saya cek tidak ada masuk notifikasi empat angka,1,2024-10-23 16:50:58
Driver nya tidak bagus,1,2024-10-23 15:35:35
Maksim nya bawa motor ga ngotak sampai sya hampir jatuh trs minta tambahan ongkos,1,2024-10-23 15:23:18
mau tanya kenapa ya saya mau login maxim kode otp nya gak keluar,1,2024-10-23 15:15:08
"Lebih baik Pt.sito cepat bangkrut tutup saja karena sangat buruk pelayanannya, Membuat maximnya semakin sepi orderan setiap drivernya karena kesalahan yang fatal sepanjang tahun masih dipertahankan, Maxim tidak bisa login aplikasinya, suatu kebodohan untuk kehilangan jutaan pelanggan yang tidak bisa memesan layanan maxim, Driver maxim mengeluh tanpa bertindak kepada kantor maxim yang tidak menanggulangi kesalahan dalam mengambil pelanggan sebanyak mungkin untuk bisa login diaplikasi pemesanan",1,2024-10-23 13:13:22
Isi kaspro kok ga masuk ga ada admin yg bs d hubungi susah amat,1,2024-10-23 12:59:54
pembohong kamu pembohong,1,2024-10-23 12:57:08
"pesanan makanan tidak bisa dibatalkan, dan tidak bisa non tunai pemesanan juga ga jelas, tiba² lgsg ke order",2,2024-10-23 12:52:54
"Untuk Maxim Tolong drivernya di edukasi untuk lewat rute sesuai dengan google maps, agar waktu customer tidak terbuang. Saya order dari grand lucky ke plaza Senayan harusnya beer garden ke kiri malah di bawa lurus jadi muter"" Yang harusnya makan waktu hanya 12-15 jadi makan waktu 20 menit karna muter"" tolong di edukasi juga drivernya supaya rutin service kendaraan setiap bulan, saya udah kedua kalinya order maxim mogok, dan ngga sampe tujuan. Tapi saya tetap membayar sesuai harga di awal",1,2024-10-23 12:35:02
Banyak driver yang tidak sesuai dengan aplikasi.,1,2024-10-23 10:58:00
"aneh banget aneh. driver keterlaluan bgt dtg dilama lamain, dasar komtol",1,2024-10-23 10:44:32
"Maxim ewallet buruk banget sumpah, isi saldo masuknya dellay banget, pesen maxim pakek ewallet, tb tb berubah ketunai aneh bangett fitur maxim skrng, jadinya bayar pakek tunai tailah",1,2024-10-23 10:20:54
tidak terlalu bagus,2,2024-10-23 07:51:22
Aplikasi perusak harga...,1,2024-10-22 22:34:04
