content,cleaned_text
"Susah dapet driver mobil di daerah jateng, mobile di map banyak tapi pada ga mau ngambil, kalo masalah harga padahal itu harga yg di tetapkan pihak Maxim, payah ga sepadan sama para kompetitor nya",Susah dapet driver mobil di daerah jateng mobile di map banyak tapi pada ga mau ngambil kalo masalah harga padahal itu harga yg di tetapkan pihak Maxim payah ga sepadan sama para kompetitor nya
"Perjalanan yg saya pilih untuk sekali jalan, tiba² tagihannya 2 kali lipat pas saya tanya driver katanya dari aplikasi, padahal jelas² saya sekali jalan. Masa aplikasi bisa berubah tiba², bermasalah. Driver tetap minta tarif sesuai aplikasi, yg jelas² saya juga sesuai aplikasi. Dengan memilih sekali perjalanan. Jadi ongkos 80.000 jadi 159.000. Apa yg terjadi?",Perjalanan yg saya pilih untuk sekali jalan tiba tagihannya kali lipat pas saya tanya driver katanya dari aplikasi padahal jelas saya sekali jalan Masa aplikasi bisa berubah tiba bermasalah Driver tetap minta tarif sesuai aplikasi yg jelas saya juga sesuai aplikasi Dengan memilih sekali perjalanan Jadi ongkos jadi Apa yg terjadi
Tolong lah kalau ngasih kendaraan itu jangan jauh2,Tolong lah kalau ngasih kendaraan itu jangan jauh
"Capek banget tiap mau pakai maxim wallet selalu di batalkan sama sistem, lemot banget asli!!!!!!!!!",Capek banget tiap mau pakai maxim wallet selalu di batalkan sama sistem lemot banget asli
ojek abal2 kebanyakan tipu2,ojek abal kebanyakan tipu
"Masa pesen makanan jarak ga nyampe 1km , ongkos nya sampek 300k",Masa pesen makanan jarak ga nyampe km ongkos nya sampek k
Saya isi saldo di maxim wallet bukti transfer sudah ada tapi saldo nya gak masuk masuk mohon perbantuan nya,Saya isi saldo di maxim wallet bukti transfer sudah ada tapi saldo nya gak masuk masuk mohon perbantuan nya
Ga bisa login,Ga bisa login
Lama masuk top up nya,Lama masuk top up nya
"Tarif 18.800 dikasih 20.000 kaga dikasih kembalian njir, mana ga konfirmasi sama sekali 😂 pake fitur anter obat aja nunggunya 2.5 jam yang seharusnya waktu tunggu paling lama tuh 30 menit. Kacau dah. Mana map kaga update lagi, pusing kalo mau make",Tarif dikasih kaga dikasih kembalian njir mana ga konfirmasi sama sekali pake fitur anter obat aja nunggunya jam yang seharusnya waktu tunggu paling lama tuh menit Kacau dah Mana map kaga update lagi pusing kalo mau make
Driver nya ya ampun kasar bgt...titik gak sesuai malah ngomel2 ...gila gak tuh,Driver nya ya ampun kasar bgttitik gak sesuai malah ngomel gila gak tuh
"Ini kenapa apk tidak bisa ya minta kode pake no telp tapi tidak di kirim"" kode otp,padahal saya langanan maxim",Ini kenapa apk tidak bisa ya minta kode pake no telp tapi tidak di kirim kode otppadahal saya langanan maxim
pelayanan sangat memuaskan..,pelayanan sangat memuaskan
"Penipuan dikasih saldo, saldonya ga bisa dipake",Penipuan dikasih saldo saldonya ga bisa dipake
Saldonya ga bisa di pake huuuuuuu,Saldonya ga bisa di pake huuuuuuu
Gabisa di pake saldonya,Gabisa di pake saldonya
Pekerjanya terlalu memaksa untuk download Pdhl ga niat sama sekali,Pekerjanya terlalu memaksa untuk download Pdhl ga niat sama sekali
"parah, mesen udh 1 jam lebih driver gk da yg datang, dan sering nya di tolak driver",parah mesen udh jam lebih driver gk da yg datang dan sering nya di tolak driver
"Driver tidak sopan, nunggu suka lamaaa!!!",Driver tidak sopan nunggu suka lamaaa
Tolong pihak maxim ditindak lanjuti saya tertipu soal pembayaran delivery🙏,Tolong pihak maxim ditindak lanjuti saya tertipu soal pembayaran delivery
"Daftarnya susah banget cuy kode otpnya gak dikirim2, 3 kali percobaan udah gak bisa lagi, buruk sangat",Daftarnya susah banget cuy kode otpnya gak dikirim kali percobaan udah gak bisa lagi buruk sangat
"Aku sudah top up kemarin tapi sampai besoknya tidak masuk ,dan saldo di rekeningku sudah terpotong",Aku sudah top up kemarin tapi sampai besoknya tidak masuk dan saldo di rekeningku sudah terpotong
Minus bgt udh order malah di pilihin driver lain JERA unistal,Minus bgt udh order malah di pilihin driver lain JERA unistal
GK dapat kode otp,GK dapat kode otp
"Mau daftar aja susah. Minta kode, kode masuk saat waktu sdh slesai. 2x sya coba dan sperti itu lg. Dan coba ke panggilan, tiba diangkat lgsung dimatiin. Aneh juga ni apk. Batas 3x minta kode dan gk bsa"" kode nya. Berakhir nomor sdh gk bsa dipakai lg buat kirim kode atau daftar.",Mau daftar aja susah Minta kode kode masuk saat waktu sdh slesai x sya coba dan sperti itu lg Dan coba ke panggilan tiba diangkat lgsung dimatiin Aneh juga ni apk Batas x minta kode dan gk bsa kode nya Berakhir nomor sdh gk bsa dipakai lg buat kirim kode atau daftar
"aplikasi fenifu, 200 itu koin bukan dana, yeuu skem skem",aplikasi fenifu itu koin bukan dana yeuu skem skem
"Tarif di aplikasi customer sama driver beda, agak sulit bagi kami perjalanannya harus ada pelaporan dana. Driver suka nambahin tarif dengan alasan ngaret, padahal ngaretnya karna naikin penumpang, Kalau driver ngaret, tidak ada notif sama sekali, 🙏🏻 Suka ganti driver sendiri! Mana semuanya datang lagi. Padahal kita ga ada ganti driver.",Tarif di aplikasi customer sama driver beda agak sulit bagi kami perjalanannya harus ada pelaporan dana Driver suka nambahin tarif dengan alasan ngaret padahal ngaretnya karna naikin penumpang Kalau driver ngaret tidak ada notif sama sekali Suka ganti driver sendiri Mana semuanya datang lagi Padahal kita ga ada ganti driver
Aplikasi aneh banget gue kalo mesen sering dikasi driver yg jauh banget buat jemput gue padahal gue order ke tempat yg deket aja. Kasian drivernya jauh² pickup penumpang tapi argonya murah jelek lah pokonya ini aplikasi,Aplikasi aneh banget gue kalo mesen sering dikasi driver yg jauh banget buat jemput gue padahal gue order ke tempat yg deket aja Kasian drivernya jauh pickup penumpang tapi argonya murah jelek lah pokonya ini aplikasi
Kalo customer cancel dan minta ganti driver tolonglah di terima bukannya malah di kasih orang itu mulu,Kalo customer cancel dan minta ganti driver tolonglah di terima bukannya malah di kasih orang itu mulu
200k SCAMMMMMMMMMMMMMMMMMM SALDO GABISA DI PAKE SCAM SCAM,k SCAMMMMMMMMMMMMMMMMMM SALDO GABISA DI PAKE SCAM SCAM
200k scammmmmmmm,k scammmmmmmm
Login susah lebih dr 3x malah ga bisa. Aplikasi ga bagus log in aja dipersulit. Mendingan si ijo dr pda ini,Login susah lebih dr x malah ga bisa Aplikasi ga bagus log in aja dipersulit Mendingan si ijo dr pda ini
"Dari 10 driver Maxim hanya 2 yg baik yg lain nya driver sombong nolak nolak customer, bukan sekali 2 kali d tolak klo niat GK kerja gak usah online hanya karna jarak yg Deket padahal urgent hanya karna ongkos yg murah padahal klo kasih ongkos selalu q lebihin bikin kecewa .",Dari driver Maxim hanya yg baik yg lain nya driver sombong nolak nolak customer bukan sekali kali d tolak klo niat GK kerja gak usah online hanya karna jarak yg Deket padahal urgent hanya karna ongkos yg murah padahal klo kasih ongkos selalu q lebihin bikin kecewa
"Tiap hari menerima driver baru banyak ,kalau saya yang jadi mentri perhubungan sudah saya sepak kau aplikasi kejam sadis tidak memikirkan nasib driver ..pendaftaran di buka teris sampai hari kiamat !!!@",Tiap hari menerima driver baru banyak kalau saya yang jadi mentri perhubungan sudah saya sepak kau aplikasi kejam sadis tidak memikirkan nasib driver pendaftaran di buka teris sampai hari kiamat
"Saya udah transfer kaspro 30ribu kenapa belum masuk woy , tolong dong kembalikan uangnya !!!!! Apa perlu saya up ke medsos",Saya udah transfer kaspro ribu kenapa belum masuk woy tolong dong kembalikan uangnya Apa perlu saya up ke medsos
Saya tidak bisa login dan kode otp tdk terkirim baik melalui sms memang ditlp tpi cs membisu tdk ksi kode otp sehingga sy tdk bisa login. Saya kirain tidak ada pulsa maka tdk dikrim kode otp u/msk sms kode otp tahunya memang tidak bisa msk itu kode otp dan ditlp mlah tdk ada bicra apa itu CS Maxim.,Saya tidak bisa login dan kode otp tdk terkirim baik melalui sms memang ditlp tpi cs membisu tdk ksi kode otp sehingga sy tdk bisa login Saya kirain tidak ada pulsa maka tdk dikrim kode otp umsk sms kode otp tahunya memang tidak bisa msk itu kode otp dan ditlp mlah tdk ada bicra apa itu CS Maxim
"agak kapok/takut buat pesan maxim lagi, dapet pengalaman yang bawa motornya ugal - ugalan parah, dia ga mikir sama sekali kalo dia bawa nyawa penumpang dan bawa nama yaitu maxim, gara gara satu org ini bisa jelek nama maxim. udah laporin ke pihak maxim tapi belum ada tanggapan. terima kasih untuk tidak pakai maxim lagi, akan terus terkenang kejadian ini, akan lebih baik lagi saya uninstal.",agak kapoktakut buat pesan maxim lagi dapet pengalaman yang bawa motornya ugal ugalan parah dia ga mikir sama sekali kalo dia bawa nyawa penumpang dan bawa nama yaitu maxim gara gara satu org ini bisa jelek nama maxim udah laporin ke pihak maxim tapi belum ada tanggapan terima kasih untuk tidak pakai maxim lagi akan terus terkenang kejadian ini akan lebih baik lagi saya uninstal
"Tolong dong driver atas nama Muhammad Taufik Hidayat suru TF balik uang saya dibawa kabur SM dia , bukan masalah nominal tp kejujuran nya pakkkk , dia blg mau TF balik tp wa saya di blokir sama dia tolongg dong pihakkkk Maxim kondisikan drivernya!!!! Hati2 sama plat nomornya B3848 PNE",Tolong dong driver atas nama Muhammad Taufik Hidayat suru TF balik uang saya dibawa kabur SM dia bukan masalah nominal tp kejujuran nya pakkkk dia blg mau TF balik tp wa saya di blokir sama dia tolongg dong pihakkkk Maxim kondisikan drivernya Hati sama plat nomornya B PNE
lambat,lambat
"Ap L1 k4 si t4 i. k4 U kalo ber sai ng, ya n9 se h4t do n9 b4 b1. 3ny 4h k4 U d4 r1 in d0n 3si4. 4p l1ka si b4 b1.",Ap L k si t i k U kalo ber sai ng ya n se ht do n b b ny h k U d r in dn si p lka si b b
Ajarin pengemudi lo dengan kata yang sopan!,Ajarin pengemudi lo dengan kata yang sopan
Pindah ke indriver aja lah... lebih enak,Pindah ke indriver aja lah lebih enak
Hoaxx dapet bonus tapi gabisa di pake hoaxxx,Hoaxx dapet bonus tapi gabisa di pake hoaxxx
scam penipu,scam penipu
Kalo gk bisa pake nomor minimal pake google geh,Kalo gk bisa pake nomor minimal pake google geh
"Sangat"" mengecewakan, Driver banyak betingkah, Kalo gak mau narik baik di off kan aplikasi nya, alasan lagi makan, pecah ban, bilang otw tapi di aplikasi tidak bergerak, sangat"" kurang ajar .. Itu bukan sekali dua kali, Aku sekalipun gak pernh kasih ongkos pass, pasti lebih... Paraahhhh!!!",Sangat mengecewakan Driver banyak betingkah Kalo gak mau narik baik di off kan aplikasi nya alasan lagi makan pecah ban bilang otw tapi di aplikasi tidak bergerak sangat kurang ajar Itu bukan sekali dua kali Aku sekalipun gak pernh kasih ongkos pass pasti lebih Paraahhhh
"Maxim memang bagus. Tapi ketika pesan disana misal tertulis 5 menit sampai. Ditunggu sampai 5 menit Gak maju2 kendaraannya, kesel saya sering begitu. Dan akhirnya nunggu lama lbih dari 5 mnit. Ketikasudah dibatalkan malah datang.",Maxim memang bagus Tapi ketika pesan disana misal tertulis menit sampai Ditunggu sampai menit Gak maju kendaraannya kesel saya sering begitu Dan akhirnya nunggu lama lbih dari mnit Ketikasudah dibatalkan malah datang
Peta tida muncul..... Yg muncul cuma garis kotak......,Peta tida muncul Yg muncul cuma garis kotak
"Aneh saya jadi gak bisa login,aplikasi apa ini",Aneh saya jadi gak bisa loginaplikasi apa ini
Maxim bodoh sumpah. Harga kok berubah rubah terus. Tolol emang. Ganggu aktifitas orang,Maxim bodoh sumpah Harga kok berubah rubah terus Tolol emang Ganggu aktifitas orang
sadar diri lah penumpang pesan car . udah ac 10.500 kasih nya uang pas kadang 10rb pas parah. gk ngotak harganya,sadar diri lah penumpang pesan car udah ac kasih nya uang pas kadang rb pas parah gk ngotak harganya
"Tidak berguna alamat lokasi tidak lengkap, susah buat nyari kantor nya ataupun perusahaan, map nya juga suka ga keluar alias gelap, pokonya ga banget deh iwww",Tidak berguna alamat lokasi tidak lengkap susah buat nyari kantor nya ataupun perusahaan map nya juga suka ga keluar alias gelap pokonya ga banget deh iwww
"SAYA SBG PENUMPANG KECEWA SEKALI DGN TAXI MAXIM YG KATANYA BISA BYR LWT NON-TUNAI (MAXIM WALLET) MALAH PENGEMUDINYA GATAU CARA TARIK TUNAI DAN GA TERIMA KAMI BAYAR NON TUNAI DIKIRA KAMI YG NIPU. KRN GAMAU RIBUT, AKHIRNYA SY BAYAR 2X BOSS. TOLONG UNTUNG YG MAU DAFTAR MAXIM JD PENGEMUDI DI SELEKSI BENER2 ORG YG KUDET TEKNOLOGI ATAU MMG APLIKASI WALLET MAXIMNYA YG SUSAH BUAT TARIK TUNAI!!!! MAU COMPLAIN DISURUH DTG KE KANTORNYA, WAH MALAH RIBUT NTR DISANA, TIDAK MENERIMA COMPLAIN LWT SOSMED KATANYA",SAYA SBG PENUMPANG KECEWA SEKALI DGN TAXI MAXIM YG KATANYA BISA BYR LWT NONTUNAI MAXIM WALLET MALAH PENGEMUDINYA GATAU CARA TARIK TUNAI DAN GA TERIMA KAMI BAYAR NON TUNAI DIKIRA KAMI YG NIPU KRN GAMAU RIBUT AKHIRNYA SY BAYAR X BOSS TOLONG UNTUNG YG MAU DAFTAR MAXIM JD PENGEMUDI DI SELEKSI BENER ORG YG KUDET TEKNOLOGI ATAU MMG APLIKASI WALLET MAXIMNYA YG SUSAH BUAT TARIK TUNAI MAU COMPLAIN DISURUH DTG KE KANTORNYA WAH MALAH RIBUT NTR DISANA TIDAK MENERIMA COMPLAIN LWT SOSMED KATANYA
"Driver tidak sopan,memaki maki dengan kata kotor.sangat menyesal menggunakan aplikasi ini.",Driver tidak sopanmemaki maki dengan kata kotorsangat menyesal menggunakan aplikasi ini
ngga jelas nih soal pembayaran diaplikasi coustomer sama di driver beda,ngga jelas nih soal pembayaran diaplikasi coustomer sama di driver beda
"Percuma ada promo, promonya gak berlaku Promo 19300, pas bayar dimintai 22000 Nggak benar",Percuma ada promo promonya gak berlaku Promo pas bayar dimintai Nggak benar
saya customer yang turunin di pinggir jalan,saya customer yang turunin di pinggir jalan
"Sejajarkan harga, bersaing yang sehat dooonk",Sejajarkan harga bersaing yang sehat dooonk
masuk kode nya lemot,masuk kode nya lemot
Bersaing harga lah secara sehat jangan merusak menjatuhkan harga lokal,Bersaing harga lah secara sehat jangan merusak menjatuhkan harga lokal
Gak jelas nihil pengguna nya dikit ditipu terus mesen makanan malah abang nya minta Transfer deluan Aplikasi nya gak worth it,Gak jelas nihil pengguna nya dikit ditipu terus mesen makanan malah abang nya minta Transfer deluan Aplikasi nya gak worth it
"Ribet GPS nya ruwet ruwet gak kaya aplikasi lain, ini mah ruwet super ruwet",Ribet GPS nya ruwet ruwet gak kaya aplikasi lain ini mah ruwet super ruwet
"Ati ati yg naik dari stasiun pasar turi surabaya ke bungurasih harga gak sesuai argo , di getok dari 50 ke 90 ribu, dengan alsan bayar parkr ,mnding jangan",Ati ati yg naik dari stasiun pasar turi surabaya ke bungurasih harga gak sesuai argo di getok dari ke ribu dengan alsan bayar parkr mnding jangan
"Kok driver maxim sekarang banyak gak sopan ya dan seperti calo,harus nya mikir dong coba bayangin kalo kami mulai memakai transportasi umum kembali pasti bakal sepi orderan kalian",Kok driver maxim sekarang banyak gak sopan ya dan seperti caloharus nya mikir dong coba bayangin kalo kami mulai memakai transportasi umum kembali pasti bakal sepi orderan kalian
"Tolonglah maxim, selama saya pesan makan di aplikasi ini baru dua kali berhasil. Jarang sekali yang mau terima orderan.",Tolonglah maxim selama saya pesan makan di aplikasi ini baru dua kali berhasil Jarang sekali yang mau terima orderan
Susah banget nyari alamat nya,Susah banget nyari alamat nya
Sangaat hmmmmmm,Sangaat hmmmmmm
up,up
"Untuk pelayanan si lumayan ok cept jg respon nya , tp saldo vocer yg di kasi sama sekali gak bisa ke pake pdhl saldo sudah terptong",Untuk pelayanan si lumayan ok cept jg respon nya tp saldo vocer yg di kasi sama sekali gak bisa ke pake pdhl saldo sudah terptong
Saya top up 60rb tetapi tidak masuk.,Saya top up rb tetapi tidak masuk
Hoax,Hoax
Mapnya kotak kotak doang kocak,Mapnya kotak kotak doang kocak
"Niat hati igin coba pake jasa maxim, tp Cukup sekali pakai maxim, harga yang tertera pada aplikasi tidak sesuai saat pembayaran ke driver nya , driver nya minta tambahan bayar karna jarak driver menjemput saya terlalu jauh kata nya, luruskan dulu sistem nya maxim sama driver nya, di perbolehkan tidak seperti ini ke pelanggan mnta tambahan biaya, ac tidak di nyalakan malah di suruh membuka jendela, sangat sangat tidak nyaman , Gak tau ini apa emang standar nya seperti ini ya?",Niat hati igin coba pake jasa maxim tp Cukup sekali pakai maxim harga yang tertera pada aplikasi tidak sesuai saat pembayaran ke driver nya driver nya minta tambahan bayar karna jarak driver menjemput saya terlalu jauh kata nya luruskan dulu sistem nya maxim sama driver nya di perbolehkan tidak seperti ini ke pelanggan mnta tambahan biaya ac tidak di nyalakan malah di suruh membuka jendela sangat sangat tidak nyaman Gak tau ini apa emang standar nya seperti ini ya
"Aplikasi terlalu bebas dan tidak terbatas,, jadi banyak driver tanpa atribut dan menyalah gunakan profesi driver untuk tindak kejahatan, keamanan dan standard nya Maxim tidak ada , jadi untuk segi keamanan kurang",Aplikasi terlalu bebas dan tidak terbatas jadi banyak driver tanpa atribut dan menyalah gunakan profesi driver untuk tindak kejahatan keamanan dan standard nya Maxim tidak ada jadi untuk segi keamanan kurang
"Aneh naik maxim, harga awal 58rb pas tengah jalan tiba2 naik jadi 82rb tanpa sepengetahuan saya, hadiah dari saya bintang 1 aja deh buat maxim.",Aneh naik maxim harga awal rb pas tengah jalan tiba naik jadi rb tanpa sepengetahuan saya hadiah dari saya bintang aja deh buat maxim
Apk tolol,Apk tolol
"Bingung banget, pertama x naik Maxim itu pun di orderin lewat hp sodara, order Maxim dgn jarak 1.9 km detail harga di aplikasi penumpang 10.500 Begitu sampai lokasi pengemudi bilang harga 23rb tertera d aplikasi😌😌😌",Bingung banget pertama x naik Maxim itu pun di orderin lewat hp sodara order Maxim dgn jarak km detail harga di aplikasi penumpang Begitu sampai lokasi pengemudi bilang harga rb tertera d aplikasi
Minimal driver jangan tolol Ngertilah pakai GPS,Minimal driver jangan tolol Ngertilah pakai GPS
"Aplikasinya tidak punya fitur chat CS, keluhan pelanggan, dan chat Online.",Aplikasinya tidak punya fitur chat CS keluhan pelanggan dan chat Online
Titik ga bisa dicari mau masuk pun kode otp tidak bisa,Titik ga bisa dicari mau masuk pun kode otp tidak bisa
KECEWA BANGET GAK BISA DAFTAR AKUN HAPUUUS,KECEWA BANGET GAK BISA DAFTAR AKUN HAPUUUS
terima kasih sdh antar sampai ke tempat tujuan,terima kasih sdh antar sampai ke tempat tujuan
Aplikasi Transportasi Yang Bikin Nge Jatohin Harga Argo Tidak Sesuai dengan kilometer Cousteumer bayar ke Maxim Mahal Giliran Maxim Bayar ke Drivernya Murah Banget Gila Udh gitu Tidak ada Asuransi Jiwasraya Terjadi nya kecelakaan lalu lintas terhadap Driver Dan Cousteumer nya....MAXIM PERUSAHAAN RUSIA TER TOLOL DI DUNIA...,Aplikasi Transportasi Yang Bikin Nge Jatohin Harga Argo Tidak Sesuai dengan kilometer Cousteumer bayar ke Maxim Mahal Giliran Maxim Bayar ke Drivernya Murah Banget Gila Udh gitu Tidak ada Asuransi Jiwasraya Terjadi nya kecelakaan lalu lintas terhadap Driver Dan Cousteumer nyaMAXIM PERUSAHAAN RUSIA TER TOLOL DI DUNIA
Kode otp lama banget masuk nya kecewa berat,Kode otp lama banget masuk nya kecewa berat
"Kecewa saya,saya yang menunggu jemputan driver malah saya yang bayar nunggu hampir satu jam malh kenak biaya mending klo saya yang meminta tunggu ini penjemputan saya saja blom malah disuruh bayar yang ada pelanggan di kasih kopetitas soalnya sudah menunggu driver hampir satu jam🙂‍↔️🙂‍↔️🙂‍↔️",Kecewa sayasaya yang menunggu jemputan driver malah saya yang bayar nunggu hampir satu jam malh kenak biaya mending klo saya yang meminta tunggu ini penjemputan saya saja blom malah disuruh bayar yang ada pelanggan di kasih kopetitas soalnya sudah menunggu driver hampir satu jam
"udah nunggu lama malah di cancel, hadehh",udah nunggu lama malah di cancel hadehh
"tidak memuaskan,lama dapat orderan,dan gak bisa di batalin pilihan nya mana cuman untuk mengubah orderan lagi (saya mengorder Makanan)",tidak memuaskanlama dapat orderandan gak bisa di batalin pilihan nya mana cuman untuk mengubah orderan lagi saya mengorder Makanan
"Awalnya dri kastamer ,nyoba ikut jdi driver. Setelah menyimak di percakapan umum area bali .driver nya ternyata saling makan teman sendiri alias rasis dan menghina"" sesama driver maxim. ke sesama driver, Dengan kalian berkelakuan seperti itu kastamer akan meninggalkan maxim itu sendiri . Lebih baik sama memakai jasa aplikasi lain klo kelakuan para driver di balinya sangat minus (-) . Kalau developer tidak percaya silahkan masuk ke percakapan Umum di area bali.Lihat sendiri etika mines drivernya",Awalnya dri kastamer nyoba ikut jdi driver Setelah menyimak di percakapan umum area bali driver nya ternyata saling makan teman sendiri alias rasis dan menghina sesama driver maxim ke sesama driver Dengan kalian berkelakuan seperti itu kastamer akan meninggalkan maxim itu sendiri Lebih baik sama memakai jasa aplikasi lain klo kelakuan para driver di balinya sangat minus Kalau developer tidak percaya silahkan masuk ke percakapan Umum di area baliLihat sendiri etika mines drivernya
"Delivery dibuat auto aja min, kalo Udah di buat auto tak ganti B5. Biar cepet dapet orderan, delivery express mu gak ada penggunanya",Delivery dibuat auto aja min kalo Udah di buat auto tak ganti B Biar cepet dapet orderan delivery express mu gak ada penggunanya
"aplikasi scam, promosiin mulu saldo gratis, tp gapernah bisa kepakai😂😂",aplikasi scam promosiin mulu saldo gratis tp gapernah bisa kepakai
"Saldo gak masuk, aplikasi gak jelas. Jelek. Emang paling gampang gojek atau grab. Perbaiki lagi",Saldo gak masuk aplikasi gak jelas Jelek Emang paling gampang gojek atau grab Perbaiki lagi
Admin saldo e-wallet kaspro saya kok blm masuk melalui TF bank CIMB ya,Admin saldo ewallet kaspro saya kok blm masuk melalui TF bank CIMB ya
"Pas isi e wallet maxim tf nya udah berhasil tapi gk masuk mau coba hubungi maxim di apk gk ada respon sampai sekarang kecewa sih, jadi no recomend buat pembayaran/top up e wallet maxim pasti gagal terus uang nya gk tau kemana deh aneh",Pas isi e wallet maxim tf nya udah berhasil tapi gk masuk mau coba hubungi maxim di apk gk ada respon sampai sekarang kecewa sih jadi no recomend buat pembayarantop up e wallet maxim pasti gagal terus uang nya gk tau kemana deh aneh
Aplikasi sudah bagus TAPI TOLONG JANGAN BEKERJASAMA DENGAN KASPRO!,Aplikasi sudah bagus TAPI TOLONG JANGAN BEKERJASAMA DENGAN KASPRO
Aplikasi bodong GK jelas,Aplikasi bodong GK jelas
"Pertama, isi saldo ke maxim wallet lama bgt masuk nya sampai berhari -hari, abis itu di kirim nya juga ga sesuai saldo nya, seperti pas saya top up. Dan top up yang ke dua, tidak masuk sama sekali saldo nya. Sangat tidak memuaskan!",Pertama isi saldo ke maxim wallet lama bgt masuk nya sampai berhari hari abis itu di kirim nya juga ga sesuai saldo nya seperti pas saya top up Dan top up yang ke dua tidak masuk sama sekali saldo nya Sangat tidak memuaskan
