processed_text,translated_text,converted_text,vader_sentiment,compound
"['daftar', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'kirim', 'kali', 'coba', 'udah', 'gak', 'buruk', 'sangat']","['list', 'difficult', 'really', 'cuy', 'code', 'OTPnya', 'no', 'send', 'times',' try ',' already ',' no ',' ','Bad ',' Very ']",list difficult really cuy code OTPnya no send times try  already  no  Bad  Very ,negatif,-0.8555
"['aku', 'top', 'up', 'kemarin', 'besok', 'masuk', 'saldo', 'rekening', 'potong']","['I', 'top', 'up', 'yesterday', 'tomorrow', 'enter', 'balance', 'account', 'cut']",I top up yesterday tomorrow enter balance account cut,negatif,-0.0772
"['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'sperti', 'lg', 'coba', 'panggil', 'tiba', 'angkat', 'lgsung', 'dimatiin', 'aneh', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'gk', 'bsa', 'kode', 'nya', 'akhir', 'nomor', 'sdh', 'gk', 'bsa', 'pakai', 'lg', 'buat', 'kirim', 'kode', 'daftar']","['want', 'list', 'just', 'difficult', 'Ask', 'Code', 'Code', 'Enter', 'Time', 'Sdh', 'Slesesai', 'X', ''Sya ',' try ',' like ',' lg ',' try ',' call ',' arrive ',' lift ',' lgsung ',' turned off ',' weird ',' ni ',' apk ', 'limits',' x ',' ask ',' code ',' gk ',' bsa ',' code ',' the 'end', 'number', 'sdh', 'gk', ','BSA ',' Use ',' LG ',' Create ',' Send ',' Code ',' Register ']",want list just difficult Ask Code Code Enter Time Sdh Slesesai X Sya  try  like  lg  try  call  arrive  lift  lgsung  turned off  weird  ni  apk  limits x  ask  code  gk  bsa  code  the end number sdh gk BSA  Use  LG  Create  Send  Code  Register ,positif,0.25
"['aplikasi', 'fenifu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']","['application', 'fraud', 'coin', 'not', 'money', 'yeu', 'SKEM', 'SKEM']",application fraud coin not money yeu SKEM SKEM,negatif,-0.5859
"['tarif', 'aplikasi', 'customer', 'sama', 'driver', 'beda', 'sulit', 'jalan', 'lapor', 'dana', 'driver', 'suka', 'nambahin', 'tarif', 'alas', 'ngaret', 'padahal', 'ngaretnya', 'karna', 'naikin', 'tumpang', 'kalau', 'driver', 'ngaret', 'notif', 'sama', 'sekali', 'suka', 'ganti', 'driver', 'sendiri', 'mana', 'semua', 'datang', 'padahal', 'ga', 'ganti', 'driver']","['tariffs',' applications', 'customers',' same ',' driver ',' Different ',' Different ',' Difficult ',' Way ',' Report ',' Dana ',' Dana ', Driver', 'Like', ','Added ',' Rates', 'Alas',' Ngaret ',' Even though ',' Ngaretnya ',' Karna ',' Raise ',' Takes', 'If', 'Driver', 'Ngaret', 'Notif', 'same', 'once', 'like', 'change', 'driver', 'alone', 'where', 'all', 'come', 'even though', 'no', 'Change', ''Driver ']",tariffs applications customers same  driver  Different  Different  Difficult  Way  Report  Dana  Dana  Driver Like Added  Rates Alas Ngaret  Even though  Ngaretnya  Karna  Raise  Takes If Driver Ngaret Notif same once like change driver alone where all come even though no Change Driver ,negatif,-0.4215
"['aplikasi', 'aneh', 'banget', 'gue', 'kalo', 'mesen', 'sering', 'kasi', 'driver', 'yg', 'jauh', 'banget', 'buat', 'jemput', 'gue', 'padahal', 'gue', 'order', 'tempat', 'yg', 'deket', 'aja', 'kasi', 'drivernya', 'jauh', 'pickup', 'tumpang', 'argonya', 'murah', 'jelek', 'lah', 'poko', 'aplikasi']","['application', 'weird', 'really', 'I', 'if', 'mesen', 'often', 'Kasi', 'Driver', 'Yang', 'far', 'really', ','For ',' pick up ',' I ',' even though ',' I ',' Order ',' Place ',' Yang ',' close ',' just ',' Kasi ',' Driver ',' Far ', 'pickup', 'overlapping', 'argo', 'cheap', 'ugly', 'lah', 'poko', 'application']",application weird really I if mesen often Kasi Driver Yang far really For  pick up  I  even though  I  Order  Place  Yang  close  just  Kasi  Driver  Far  pickup overlapping argo cheap ugly lah poko application,negatif,-0.6124
"['kalo', 'customer', 'cancel', 'minta', 'ganti', 'driver', 'tolong', 'terima', 'bukan', 'malah', 'kasih', 'orang', 'mulu']","['If', 'Customer', 'Cancel', 'Ask', 'Change', 'Driver', 'Please', 'Accept', 'Not', 'In fact', 'Love', 'People', '', 'Mulu ']",If Customer Cancel Ask Change Driver Please Accept Not In fact Love People  Mulu ,negatif,-0.12
"['k', 'scammmmmmmmmmmmmmmmmm', 'saldo', 'gabisa', 'pake', 'scam', 'scam']","['k', 'scammmmmmmmmmmmmmmmmmmmm', 'balance', 'can't', 'use', 'scam', 'scam']",k scammmmmmmmmmmmmmmmmmmmm balance cant use scam scam,positif,0.7181
"['login', 'susah', 'lebih', 'dr', 'x', 'malah', 'ga', 'aplikasi', 'ga', 'bagus', 'log', 'in', 'aja', 'sulit', 'mending', 'si', 'ijo', 'dr', 'pda']","['login', 'already', 'more', 'from', 'x', 'instead', 'no', 'application', 'no', 'can', 'log', 'in', 'Just ',' Difficult ',' Mending ',' Si ',' Ijo ',' Dr. ',' PDA ']",login already more from x instead no application no can log in Just  Difficult  Mending  Si  Ijo  Dr.  PDA ,negatif,-0.7527
"['driver', 'maxim', 'yg', 'baik', 'yg', 'nya', 'driver', 'sombong', 'nolak', 'nolak', 'customer', 'bukan', 'sekali', 'kali', 'd', 'tolak', 'klo', 'niat', 'gk', 'kerja', 'gak', 'usah', 'online', 'karna', 'jarak', 'yg', 'deket', 'padahal', 'urgent', 'karna', 'ongkos', 'yg', 'murah', 'padahal', 'klo', 'kasih', 'ongkos', 'selalu', 'q', 'lebihin', 'bikin', 'kecewa']","['Driver', 'Maxim', 'Yang', 'Good', 'Yang', 'His',' Driver ',' Arrogant ',' Refusing ',' Refusing ',' Customer ',' Not ',' Not ','Once ',' times', 'D', 'Reject', 'KLO', 'Intention', 'GK', 'Work', 'No', 'Tust', 'Online', 'Karna', 'Distance', 'YG', 'close', 'even though', 'urgent', 'because', 'cost', 'which', 'cheap', 'even though', 'if', 'love', 'cost', ''Always', 'Q', 'More on', 'Make', 'Disappointed']",Driver Maxim Yang Good Yang His Driver  Arrogant  Refusing  Refusing  Customer  Not  Not Once  times D Reject KLO Intention GK Work No Tust Online Karna Distance YG close even though urgent because cost which cheap even though if love cost Always Q More on Make Disappointed,negatif,-0.4599
"['tiap', 'hari', 'terima', 'driver', 'baru', 'banyak', 'kalau', 'jadi', 'tri', 'hubung', 'sepak', 'kau', 'aplikasi', 'kejam', 'sadis', 'pikir', 'nasib', 'driver', 'daftar', 'buka', 'ter', 'hari', 'kiamat']","['every', 'day', 'accept', 'driver', 'new', 'many', 'if', 'So', 'Tri', 'Connect', 'Football', 'You', ''Applications', 'cruel', 'sadistic', 'thought', 'fate', 'driver', 'list', 'open', 'ter', 'day', 'doomsday']",every day accept driver new many if So Tri Connect Football You Applications cruel sadistic thought fate driver list open ter day doomsday,negatif,-0.7184
"['login', 'kode', 'otp', 'tdk', 'kirim', 'baik', 'lalu', 'sms', 'memang', 'ditlp', 'tpi', 'cs', 'bisu', 'tdk', 'ksi', 'kode', 'otp', 'sy', 'tdk', 'login', 'kirain', 'pulsa', 'tdk', 'krim', 'kode', 'otp', 'umsk', 'sms', 'kode', 'otp', 'tahu', 'memang', 'msk', 'kode', 'otp', 'ditlp', 'mlah', 'tdk', 'bicra', 'apa', 'cs', 'maxim']","['login', 'code', 'OTP', 'no', 'send', 'good', 'then', 'SMS', 'indeed', 'Ditlp', 'TPI', 'CS', ','Mute ',' No ',' Ksi ',' Code ',' OTP ',' Sy ',' No ',' Login ',' Kirain ',' Credit ',' No ',' Cream ',' Code ', 'OTP', 'UMSK', 'SMS', 'Code', 'OTP', 'Know', 'Indeed', 'MSK', 'Code', 'OTP', 'Ditlp', 'Mlah', ','No ',' Bicra ',' what ',' cs', 'maxim']",login code OTP no send good then SMS indeed Ditlp TPI CS Mute  No  Ksi  Code  OTP  Sy  No  Login  Kirain  Credit  No  Cream  Code  OTP UMSK SMS Code OTP Know Indeed MSK Code OTP Ditlp Mlah No  Bicra  what  cs maxim,negatif,-0.5423
"['kapoktakut', 'buat', 'pesan', 'maxim', 'dapet', 'alam', 'bawa', 'motor', 'ugal', 'ugalan', 'parah', 'ga', 'mikir', 'sama', 'sekali', 'kalo', 'bawa', 'nyawa', 'tumpang', 'bawa', 'nama', 'maxim', 'gara', 'gara', 'satu', 'org', 'jelek', 'nama', 'maxim', 'udah', 'laporin', 'pihak', 'maxim', 'tanggap', 'terima', 'kasih', 'pakai', 'maxim', 'terus', 'kenang', 'jadi', 'lebih', 'baik', 'uninstal']","['Kapoktakut', 'Create', 'Message', 'Maxim', 'Get', 'Nature', 'Bring', 'Motor', 'Motor', 'Ugal', 'Ugal', 'reckonial', 'worse', 'Ga', '', ','Think ',' the same ',' once ',' if ',' bring ',' life ',' overlapping ',' bring ',' name ',' Maxim ',' Gara ',' Gara ',' One ',' One ', 'org', 'ugly', 'name', 'maxim', 'already', 'reported', 'party', 'maxim', 'responsive', 'accept', 'love', 'use', ','Maxim ',' continue ',' recall ',' so ',' more ',' good ',' uninstal ']",Kapoktakut Create Message Maxim Get Nature Bring Motor Motor Ugal Ugal reckonial worse Ga  Think  the same  once  if  bring  life  overlapping  bring  name  Maxim  Gara  Gara  One  One  org ugly name maxim already reported party maxim responsive accept love use Maxim  continue  recall  so  more  good  uninstal ,positif,0.8799
"['dong', 'driver', 'atas', 'nama', 'muhammad', 'taufik', 'hidayat', 'suru', 'tf', 'balik', 'uang', 'bawa', 'kabur', 'sm', 'bukan', 'masalah', 'nominal', 'tp', 'jujur', 'nya', 'pakkkk', 'blg', 'mau', 'tf', 'balik', 'tp', 'wa', 'blokir', 'sama', 'tolongg', 'dong', 'pihakkkk', 'maxim', 'kondisi', 'drivernya', 'hati', 'sama', 'plat', 'nomor', 'b', 'pne']","['Dong', 'Driver', 'Top', 'Name', 'Muhammad', 'Taufik', 'Hidayat', 'Suru', 'TF', 'Back', 'Money', 'Bring', ','Running ',' SM ',' not ',' Problems', 'Nominal', 'TP', 'Honest', 'His',' Pakkkk ',' Blg ',' Want ',' Tf ',' Back ', 'TP', 'Wa', 'Block', 'Same', 'Please', 'Dong', 'KKK Party', 'Maxim', 'Condition', 'Driver', 'Heart', 'Same', ','Plates', 'number', 'B', 'Pne']",Dong Driver Top Name Muhammad Taufik Hidayat Suru TF Back Money Bring Running  SM  not  Problems Nominal TP Honest His Pakkkk  Blg  Want  Tf  Back  TP Wa Block Same Please Dong KKK Party Maxim Condition Driver Heart Same Plates number B Pne,positif,0.8425
"['pindah', 'indriver', 'aja', 'lah', 'lebih', 'enak']","['move', 'indriver', 'just', 'lah', 'more', 'delicious']",move indriver just lah more delicious,positif,0.6115
"['hoaxx', 'dapet', 'bonus', 'gabisa', 'pake', 'hoaxxx']","['hoaxx', 'get', 'bonus', 'can't', 'use', 'hoaxxx']",hoaxx get bonus cant use hoaxxx,positif,0.5423
"['scam', 'tipu']","['scam', 'trick']",scam trick,negatif,-0.5994
"['kalo', 'gk', 'pake', 'nomor', 'minimal', 'pake', 'google', 'geh']","['If', 'not', 'use', 'number', 'minimal', 'use', 'google', 'geh']",If not use number minimal use google geh,negatif,-0.0572
"['sangat', 'kecewa', 'driver', 'banyak', 'beting', 'kalo', 'gak', 'mau', 'narik', 'baik', 'off', 'kan', 'aplikasi', 'nya', 'alas', 'makan', 'pecah', 'ban', 'bilang', 'otw', 'aplikasi', 'gerak', 'sangat', 'kurang', 'ajar', 'bukan', 'sekali', 'kali', 'aku', 'sekalipun', 'gak', 'pernh', 'kasih', 'ongkos', 'pass', 'lebih', 'paraahhhh']","['Very', 'Disappointed', 'Driver', 'Lots', 'Beting', 'If', 'No', 'Want', 'Breaking', 'Good', 'Off', 'right', ''Applications ',' 'Alas', 'Alas', 'Eat', 'Broken', 'Tire', 'Tire', 'Say', 'Otw', 'Applications', 'Motion', 'Motion', 'Very', 'Lack', 'Teach', 'Teach', 'not', 'once', 'times', 'me', 'even though', 'no', 'pernh', 'love', 'cost', 'pass', 'more', 'paraahhhh']",Very Disappointed Driver Lots Beting If No Want Breaking Good Off right Applications  Alas Alas Eat Broken Tire Tire Say Otw Applications Motion Motion Very Lack Teach Teach not once times me even though no pernh love cost pass more paraahhhh,negatif,-0.8067
"['maxim', 'memang', 'bagus', 'pesan', 'sana', 'misal', 'tulis', 'menit', 'tunggu', 'menit', 'gak', 'maju', 'kendara', 'kesel', 'sering', 'akhir', 'nunggu', 'lama', 'lbih', 'mnit', 'ketikasudah', 'batal', 'malah', 'datang']","['Maxim', 'indeed', 'good', 'message', 'there', 'for example', 'write', 'minutes', 'wait', 'minutes', 'no', 'forward', ''Kendara ',' Upset ',' often ',' end ',' waiting for ',' old ',' more and more ',' mnit ',' tyrannical ',' canceled ',' instead ',' coming ']",Maxim indeed good message there for example write minutes wait minutes no forward Kendara  Upset  often  end  waiting for  old  more and more  mnit  tyrannical  canceled  instead  coming ,negatif,-0.2263
"['peta', 'tida', 'muncul', 'yg', 'muncul', 'cuma', 'garis', 'kotak']","['map', 'no', 'appeared', 'which', 'appeared', 'just', 'line', 'box']",map no appeared which appeared just line box,negatif,-0.296
"['aneh', 'jadi', 'gak', 'loginaplikasi', 'apa']","['strange', 'so', 'no', 'login application', 'what']",strange so no login application what,negatif,-0.5095
"['maxim', 'bodoh', 'sumpah', 'harga', 'kok', 'ubah', 'rubah', 'terus', 'tolol', 'emang', 'ganggu', 'aktifitas', 'orang']","['Maxim', 'stupid', 'oath', 'price', 'really', 'change', 'change', 'continue', 'stupid', 'indeed', 'disturb', 'activity', ''person']",Maxim stupid oath price really change change continue stupid indeed disturb activity person,negatif,-0.8591
"['sadar', 'diri', 'lah', 'tumpang', 'pesan', 'car', 'udah', 'ac', 'kasih', 'nya', 'uang', 'pas', 'kadang', 'rb', 'pas', 'parah', 'gk', 'ngotak', 'harga']","['realize', 'self', 'lah', 'overlapping', 'message', 'car', 'already', 'ac', 'love', 'his', money', 'right', ''Sometimes', 'RB', 'fitting', 'severe', 'gk', 'ngotak', 'price']",realize self lah overlapping message car already ac love his money right Sometimes RB fitting severe gk ngotak price,positif,0.3818
