content,tokenized_text,processed_text,translated_text,vader_sentiment
"Hello MAXIM OWNER.. Menerima Driver harus lebih Selektif lagi !!! Jangan orang yg BRANGASAN,BAD ATTITUDE,KASAR dan suka PLAYING VICTIM macam yg Namanya si HARDI !!! Pake Ngerekam2 Saya segalaaa,Gaya Lu Tooong ! Lu kan tau gue minta dianter ke Hotel ANU,pas elu menurunkan gue,ADA GAK HOTEL nya ???Nyerocos kayak Orang GILA.Songong Lu..","['hello', 'maxim', 'owner', 'menerima', 'driver', 'harus', 'lebih', 'selektif', 'lagi', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'dan', 'suka', 'playing', 'victim', 'macam', 'yg', 'namanya', 'si', 'hardi', 'pake', 'ngerekam', 'saya', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'dianter', 'ke', 'hotel', 'anupas', 'elu', 'menurunkan', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']","['hello', 'maxim', 'owner', 'terima', 'driver', 'lebih', 'selektif', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'suka', 'playing', 'victim', 'macam', 'yg', 'nama', 'si', 'hardi', 'pake', 'ngerekam', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'anter', 'hotel', 'anupas', 'elu', 'turun', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']","['Hello', 'Maxim', 'Owner', 'Accept', 'Driver', 'More', 'Selective', 'Don't', 'People', 'Yang', 'Brangasanbad', 'Attitudekasar', '', 'Like ',' Playing ',' Victim ',' Kind ',' Yang ',' Name ',' Si ',' Hardi ',' Using ',' Recorded ',' AllaAgaya ',' Lu ',' Tooong ', 'Lu', 'Kan', 'Know', 'I', 'Ask', 'Anter', 'Hotel', 'Anupas',' Elu ',' Down ',' Akada ',' No ',' ','Hotel ',' its', 'Nyerocos',' Kayak ',' People ',' Gilasongong ',' Lu ']",positif
"lucu udah top up kaspro malah ga masuk, nominal nya ga sedikit lagi😂😂","['lucu', 'udah', 'top', 'up', 'kaspro', 'malah', 'ga', 'masuk', 'nominal', 'nya', 'ga', 'sedikit', 'lagi']","['lucu', 'udah', 'top', 'up', 'kaspro', 'malah', 'ga', 'masuk', 'nominal', 'nya', 'ga', 'sedikit']","['funny', 'already', 'top', 'up', 'kaspro', 'instead', 'no', 'enter', 'nominal', 'it', 'no', 'a little']",
Salah satu aplikasi yg menurut ku jlk pengemudinya lelet dan sering cancel orderan,"['salah', 'satu', 'aplikasi', 'yg', 'menurut', 'ku', 'jlk', 'pengemudinya', 'lelet', 'dan', 'sering', 'cancel', 'orderan']","['salah', 'satu', 'aplikasi', 'yg', 'ku', 'jlk', 'mud', 'lelet', 'sering', 'cancel', 'order']","['wrong', 'one', 'application', 'yang', 'ku', 'jlk', 'mud', 'slow', 'often', 'cancel', 'order']",
"Driver mitra lo belagu belagu, ngorder yg terdekat pada gak mau pick up, dpt driver jauh2 mulu, order di ancol masa dpt driver yg di cileungsi, trus dpt yg di keamanan paling dket, pdahal yg sekitar ancol bnyk yg On","['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'terdekat', 'pada', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'di', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'di', 'cileungsi', 'trus', 'dpt', 'yg', 'di', 'keamanan', 'paling', 'dket', 'pdahal', 'yg', 'sekitar', 'ancol', 'bnyk', 'yg', 'on']","['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'dekat', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'cileungsi', 'trus', 'dpt', 'yg', 'aman', 'paling', 'dket', 'pdahal', 'yg', 'ancol', 'bnyk', 'yg', 'on']","['Driver', 'Mitra', 'Lo', 'Belagu', 'Belagu', 'Ngorder', 'Yang', 'Close', 'No', 'Want', 'Pick', 'Up', ','DPT ',' Driver ',' far ',' Mulu ',' Order ',' Ancol ',' Time ',' DPT ',' Driver ',' YG ',' Cileungsi ',' then ',' DPT ', 'YG', 'Safe', 'Most', 'Detet', 'Pakashal', 'Yang', 'Ancol', 'Banyk', 'Yang', 'On']",
"Sangat kecewa! Aplikasi yg sebaik ini ternyata masih kesulitan untuk melakukan top up Maxim e wallet Kaspro. Untuk developer, mohon diperbaiki segala sistem yg berhubungan dengan pembayaran non tunai. Saya sudah top up tapi saldo belum masuk juga sudah 24 jam menunggu. Kasih bintang satu ja. Terima kasih","['sangat', 'kecewa', 'aplikasi', 'yg', 'sebaik', 'ini', 'ternyata', 'masih', 'kesulitan', 'untuk', 'melakukan', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'untuk', 'developer', 'mohon', 'diperbaiki', 'segala', 'sistem', 'yg', 'berhubungan', 'dengan', 'pembayaran', 'non', 'tunai', 'saya', 'sudah', 'top', 'up', 'tapi', 'saldo', 'belum', 'masuk', 'juga', 'sudah', 'jam', 'menunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']","['sangat', 'kecewa', 'aplikasi', 'yg', 'baik', 'nyata', 'sulit', 'laku', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'developer', 'mohon', 'baik', 'segala', 'sistem', 'yg', 'hubung', 'bayar', 'non', 'tunai', 'top', 'up', 'saldo', 'masuk', 'jam', 'tunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']","['very', 'disappointed', 'application', 'that', 'good', 'real', 'difficult', 'behavior', 'top', 'up', 'maxim', 'e', ​​','Wallet ',' Kaspro ',' Developer ',' Please ',' Good ',' Everything ',' System ',' Yang ',' Connect ',' Pay ',' Non ',' Cash ',' Top ', 'up', 'balance', 'enter', 'clock', 'wait', 'love', 'star', 'one', 'ja', 'accept', 'love']",positif
Demi apapun gaakan lagi gua pake maxim Driver nya makin banyak yang gajelas!!!,"['demi', 'apapun', 'gaakan', 'lagi', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'yang', 'gajelas']","['apa', 'gaakan', 'gua', 'pake', 'maxim', 'driver', 'nya', 'makin', 'banyak', 'gajelas']","['what', 'not', 'cave', 'use', 'maxim', 'driver', 'the', 'getting', 'many', 'gajlelas']",
"Susah dapet driver mobil di daerah jateng, mobile di map banyak tapi pada ga mau ngambil, kalo masalah harga padahal itu harga yg di tetapkan pihak Maxim, payah ga sepadan sama para kompetitor nya","['susah', 'dapet', 'driver', 'mobil', 'di', 'daerah', 'jateng', 'mobile', 'di', 'map', 'banyak', 'tapi', 'pada', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'itu', 'harga', 'yg', 'di', 'tetapkan', 'pihak', 'maxim', 'payah', 'ga', 'sepadan', 'sama', 'para', 'kompetitor', 'nya']","['susah', 'dapet', 'driver', 'mobil', 'daerah', 'jateng', 'mobile', 'map', 'banyak', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'harga', 'yg', 'tetap', 'pihak', 'maxim', 'payah', 'ga', 'padan', 'sama', 'kompetitor', 'nya']","['difficult', 'get', 'driver', 'car', 'region', 'jateng', 'mobile', 'map', 'many', 'no', 'want', 'take', ','If ',' problem ',' price ',' even though ',' price ',' yang ',' still ',' party ',' maxim ',' pouring ',' no ',' Padan ',' the same ', 'competitors', 'its']",negatif
"Perjalanan yg saya pilih untuk sekali jalan, tiba² tagihannya 2 kali lipat pas saya tanya driver katanya dari aplikasi, padahal jelas² saya sekali jalan. Masa aplikasi bisa berubah tiba², bermasalah. Driver tetap minta tarif sesuai aplikasi, yg jelas² saya juga sesuai aplikasi. Dengan memilih sekali perjalanan. Jadi ongkos 80.000 jadi 159.000. Apa yg terjadi?","['perjalanan', 'yg', 'saya', 'pilih', 'untuk', 'sekali', 'jalan', 'tiba', 'tagihannya', 'kali', 'lipat', 'pas', 'saya', 'tanya', 'driver', 'katanya', 'dari', 'aplikasi', 'padahal', 'jelas', 'saya', 'sekali', 'jalan', 'masa', 'aplikasi', 'bisa', 'berubah', 'tiba', 'bermasalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'saya', 'juga', 'sesuai', 'aplikasi', 'dengan', 'memilih', 'sekali', 'perjalanan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'terjadi']","['jalan', 'yg', 'pilih', 'sekali', 'jalan', 'tiba', 'tagih', 'kali', 'lipat', 'pas', 'tanya', 'driver', 'kata', 'aplikasi', 'padahal', 'jelas', 'sekali', 'jalan', 'masa', 'aplikasi', 'ubah', 'tiba', 'masalah', 'driver', 'tetap', 'minta', 'tarif', 'sesuai', 'aplikasi', 'yg', 'jelas', 'sesuai', 'aplikasi', 'pilih', 'sekali', 'jalan', 'jadi', 'ongkos', 'jadi', 'apa', 'yg', 'jadi']","['Way', 'YG', 'Choose', 'Once', 'Way', 'Arrived', 'Bick', 'Times', 'Fold', 'Pas', 'Ask', 'Driver', ''The word ',' application ',' even though ',' explained ',' once ',' walking ',' time ',' application ',' change ',' arriving ',' problem ',' driver ',' still ', 'Ask', 'Rates', 'Appropriate', 'Application', 'Yang', 'Clear', 'Appropriate', 'Application', 'Choose', 'Once', 'Way', 'So', ','The cost of ',' So ',' what ',' YG ',' So ']",negatif
Tolong lah kalau ngasih kendaraan itu jangan jauh2,"['tolong', 'lah', 'kalau', 'ngasih', 'kendaraan', 'itu', 'jangan', 'jauh']","['lah', 'kalau', 'ngasih', 'kendara', 'jangan', 'jauh']","['lah', 'If', 'give', 'Kendara', 'Don't', 'Far']",
"Capek banget tiap mau pakai maxim wallet selalu di batalkan sama sistem, lemot banget asli!!!!!!!!!","['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'di', 'batalkan', 'sama', 'sistem', 'lemot', 'banget', 'asli']","['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'batal', 'sama', 'sistem', 'lot', 'banget', 'asli']","['tired', 'really', 'every', 'want', 'use', 'maxim', 'wallet', 'always', 'canceled', 'the same', 'system', 'lot', ','really ',' original ']",positif
ojek abal2 kebanyakan tipu2,"['ojek', 'abal', 'kebanyakan', 'tipu']","['ojek', 'abal', 'banyak', 'tipu']","['motorcycle taxi', 'abal', 'many', 'trickery']",
"Masa pesen makanan jarak ga nyampe 1km , ongkos nya sampek 300k","['masa', 'pesen', 'makanan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']","['masa', 'sen', 'makan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']","['period', 'sen', 'eating', 'distance', 'no', 'arrived', 'km', 'cost', 'it', 'sampek', 'k']",
Saya isi saldo di maxim wallet bukti transfer sudah ada tapi saldo nya gak masuk masuk mohon perbantuan nya,"['saya', 'isi', 'saldo', 'di', 'maxim', 'wallet', 'bukti', 'transfer', 'sudah', 'ada', 'tapi', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'perbantuan', 'nya']","['isi', 'saldo', 'maxim', 'wallet', 'bukti', 'transfer', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'bantu', 'nya']","['contents', 'balance', 'maxim', 'wallet', 'proof', 'transfer', 'balance', 'not', 'no', 'enter', 'enter', 'please', ','Help ',' his']",
Ga bisa login,"['ga', 'bisa', 'login']","['ga', 'login']","['GA', 'Login']",
Lama masuk top up nya,"['lama', 'masuk', 'top', 'up', 'nya']","['lama', 'masuk', 'top', 'up', 'nya']","['old', 'enter', 'top', 'up', 'its']",
"Tarif 18.800 dikasih 20.000 kaga dikasih kembalian njir, mana ga konfirmasi sama sekali 😂 pake fitur anter obat aja nunggunya 2.5 jam yang seharusnya waktu tunggu paling lama tuh 30 menit. Kacau dah. Mana map kaga update lagi, pusing kalo mau make","['tarif', 'dikasih', 'kaga', 'dikasih', 'kembalian', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'yang', 'seharusnya', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'lagi', 'pusing', 'kalo', 'mau', 'make']","['tarif', 'kasih', 'kaga', 'kasih', 'kembali', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'pusing', 'kalo', 'mau', 'make']","['tariff', 'love', 'kaga', 'love', 'back', 'njir', 'where', 'no', 'confirm', 'same', 'once', 'use', ''Features', 'anter', 'medicine', 'just', 'waiting for', 'clock', 'time', 'wait', 'most', 'old', 'tuh', 'minutes',' chaotic ', 'dah', 'where', 'map', 'kaga', 'update', 'dizzy', 'if', 'want', 'make']",negatif
Driver nya ya ampun kasar bgt...titik gak sesuai malah ngomel2 ...gila gak tuh,"['driver', 'nya', 'ya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']","['driver', 'nya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']","['driver', '', 'forgive', 'rude', 'rough', 'bgtititik', 'not', 'appropriate', 'instead', 'instead', 'grumble', 'crazy', 'no', 'tuh']]",
"Ini kenapa apk tidak bisa ya minta kode pake no telp tapi tidak di kirim"" kode otp,padahal saya langanan maxim","['ini', 'kenapa', 'apk', 'tidak', 'bisa', 'ya', 'minta', 'kode', 'pake', 'no', 'telp', 'tapi', 'tidak', 'di', 'kirim', 'kode', 'otppadahal', 'saya', 'langanan', 'maxim']","['apk', 'minta', 'kode', 'pake', 'no', 'telp', 'kirim', 'kode', 'otppadahal', 'langanan', 'maxim']","['apk', 'ask', 'code', 'use', 'no', 'phone', 'send', 'code', 'OTP even though', 'subscription', 'maxim']",
pelayanan sangat memuaskan..,"['pelayanan', 'sangat', 'memuaskan']","['layan', 'sangat', 'muas']","['Layan', 'Very', 'Muas']",
"Penipuan dikasih saldo, saldonya ga bisa dipake","['penipuan', 'dikasih', 'saldo', 'saldonya', 'ga', 'bisa', 'dipake']","['tipu', 'kasih', 'saldo', 'saldo', 'ga', 'dipake']","['trick', 'love', 'balance', 'balance', 'no', 'use']",
Saldonya ga bisa di pake huuuuuuu,"['saldonya', 'ga', 'bisa', 'di', 'pake', 'huuuuuuu']","['saldo', 'ga', 'pake', 'huuuuuuu']","['balance', 'no', 'use', 'huuuuuuu']",
Gabisa di pake saldonya,"['gabisa', 'di', 'pake', 'saldonya']","['gabisa', 'pake', 'saldo']","['can't', 'use', 'balance']",
Pekerjanya terlalu memaksa untuk download Pdhl ga niat sama sekali,"['pekerjanya', 'terlalu', 'memaksa', 'untuk', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']","['kerja', 'terlalu', 'paksa', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']","['work', 'too', 'forced', 'download', 'pdhl', 'ga', 'intention', 'same', 'once']",
"parah, mesen udh 1 jam lebih driver gk da yg datang, dan sering nya di tolak driver","['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'dan', 'sering', 'nya', 'di', 'tolak', 'driver']","['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'sering', 'nya', 'tolak', 'driver']","['severe', 'mesen', 'udh', 'clock', 'more', 'driver', 'no', 'da', 'that', 'coming', 'often', 'it', ''Reject ',' Driver ']",
"Driver tidak sopan, nunggu suka lamaaa!!!","['driver', 'tidak', 'sopan', 'nunggu', 'suka', 'lamaaa']","['driver', 'sopan', 'nunggu', 'suka', 'lamaaa']","['Driver', 'polite', 'waiting', 'like', 'old ’]",
Tolong pihak maxim ditindak lanjuti saya tertipu soal pembayaran delivery🙏,"['tolong', 'pihak', 'maxim', 'ditindak', 'lanjuti', 'saya', 'tertipu', 'soal', 'pembayaran', 'delivery']","['pihak', 'maxim', 'tindak', 'lanjut', 'tipu', 'soal', 'bayar', 'delivery']","['parties', 'maxim', 'act', 'continued', 'trickery', 'about', 'pay', 'Delivery']",
"Daftarnya susah banget cuy kode otpnya gak dikirim2, 3 kali percobaan udah gak bisa lagi, buruk sangat","['daftarnya', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'dikirim', 'kali', 'percobaan', 'udah', 'gak', 'bisa', 'lagi', 'buruk', 'sangat']","['daftar', 'susah', 'banget', 'cuy', 'kode', 'otpnya', 'gak', 'kirim', 'kali', 'coba', 'udah', 'gak', 'buruk', 'sangat']","['list', 'difficult', 'really', 'cuy', 'code', 'OTPnya', 'no', 'send', 'times',' try ',' already ',' no ',' ','Bad ',' Very ']",negatif
"Aku sudah top up kemarin tapi sampai besoknya tidak masuk ,dan saldo di rekeningku sudah terpotong","['aku', 'sudah', 'top', 'up', 'kemarin', 'tapi', 'sampai', 'besoknya', 'tidak', 'masuk', 'dan', 'saldo', 'di', 'rekeningku', 'sudah', 'terpotong']","['aku', 'top', 'up', 'kemarin', 'besok', 'masuk', 'saldo', 'rekening', 'potong']","['I', 'top', 'up', 'yesterday', 'tomorrow', 'enter', 'balance', 'account', 'cut']",
Minus bgt udh order malah di pilihin driver lain JERA unistal,"['minus', 'bgt', 'udh', 'order', 'malah', 'di', 'pilihin', 'driver', 'lain', 'jera', 'unistal']","['minus', 'bgt', 'udh', 'order', 'malah', 'pilihin', 'driver', 'jera', 'unistal']","['minus', 'bgt', 'already', 'order', 'instead', 'select', 'driver', 'deterrent', 'uninstall']",
GK dapat kode otp,"['gk', 'dapat', 'kode', 'otp']","['gk', 'kode', 'otp']","['gk', 'code', 'OTP']",
"Mau daftar aja susah. Minta kode, kode masuk saat waktu sdh slesai. 2x sya coba dan sperti itu lg. Dan coba ke panggilan, tiba diangkat lgsung dimatiin. Aneh juga ni apk. Batas 3x minta kode dan gk bsa"" kode nya. Berakhir nomor sdh gk bsa dipakai lg buat kirim kode atau daftar.","['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'saat', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'dan', 'sperti', 'itu', 'lg', 'dan', 'coba', 'ke', 'panggilan', 'tiba', 'diangkat', 'lgsung', 'dimatiin', 'aneh', 'juga', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'dan', 'gk', 'bsa', 'kode', 'nya', 'berakhir', 'nomor', 'sdh', 'gk', 'bsa', 'dipakai', 'lg', 'buat', 'kirim', 'kode', 'atau', 'daftar']","['mau', 'daftar', 'aja', 'susah', 'minta', 'kode', 'kode', 'masuk', 'waktu', 'sdh', 'slesai', 'x', 'sya', 'coba', 'sperti', 'lg', 'coba', 'panggil', 'tiba', 'angkat', 'lgsung', 'dimatiin', 'aneh', 'ni', 'apk', 'batas', 'x', 'minta', 'kode', 'gk', 'bsa', 'kode', 'nya', 'akhir', 'nomor', 'sdh', 'gk', 'bsa', 'pakai', 'lg', 'buat', 'kirim', 'kode', 'daftar']","['want', 'list', 'just', 'difficult', 'Ask', 'Code', 'Code', 'Enter', 'Time', 'Sdh', 'Slesesai', 'X', ''Sya ',' try ',' like ',' lg ',' try ',' call ',' arrive ',' lift ',' lgsung ',' turned off ',' weird ',' ni ',' apk ', 'limits',' x ',' ask ',' code ',' gk ',' bsa ',' code ',' the 'end', 'number', 'sdh', 'gk', ','BSA ',' Use ',' LG ',' Create ',' Send ',' Code ',' Register ']",positif
"aplikasi fenifu, 200 itu koin bukan dana, yeuu skem skem","['aplikasi', 'fenifu', 'itu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']","['aplikasi', 'fenifu', 'koin', 'bukan', 'dana', 'yeuu', 'skem', 'skem']","['application', 'fraud', 'coin', 'not', 'money', 'yeu', 'SKEM', 'SKEM']",
