processed_text,vader_sentiment
aplikasi maximnya gak login kecewa sama maxim sekarang jadi pindah aplikasi ijo,0.0
aplikasi jelek mending si ijo belah,0.0
sy dapat kode verifikasi login aplikasi maxim apa salah dri perangkat sy,0.0
drivernya ramah baik,1.0
baik,1.0
ramah harga jangkau baik,1.0
sangat bagus,1.0
hp tinggal dlm mobil hub cs maxim yg bantu sama sekali,1.0
kecewa,0.0
sangat bagus,1.0
mantap jaya,1.0
driver ramah,1.0
akun blokir mending ijo kuning drivernya ugalan jgn yg dwonload,0.0
baik,1.0
sangat baik,1.0
gimana cara bayar pake maxim walletmaxim wallet isi saldo tp gk pakai sungguh kecewa,0.0
drivernya ramah baik mobil nyaman,1.0
aduh gmana sih inimsa aku mau pesan makan malah loadinggak jelas bet dah,1.0
dong driver atas nama junaidi plat nomer hyh suruh baik attitude nya kalo sama customer apa sama customer cewe ngatain kok nyupir ga bener ugalan orang udah jelas cancel order malah didatengin marah ngatain ga jelas urus driver nyaa,0.0
petaa akurat yg jadi patok rumah aja gak temu peta tambah bingung cari titika diarahin,0.0
apk ga jelas,0.0
ramah sekali,1.0
dulu aplikasi bgt skrg ga cancel order order masuk ga jelas notifikasi ga chat driver,0.0
baik,1.0
akun cuatomer kok gj terima kode otp gimna,1.0
baik,1.0
alamat sesuai aplikasi alhasil driver yg marahmarah pdhal sudh tentu alamat benar driver nya malah nyasar alamat,1.0
lebih perhati maps nya,0.0
mantap,1.0
apk paling nyusahin driverkasian customer ga tega sm driver sy sdh naik maxim carsdh klik jalantapi ganti driver smpai x jd rugi bensinwaktu,0.0
ramah,1.0
driver sangat ramah,1.0
mud buruk,0.0
maxim gooddriver semua harge murah grab indrivertapi hanye sahaje kurang susah nak driverkena tunggu lameterimakasih banyak yee driver maximvery good,0.0
pas selesai ngisi kaspro saldo nya suka lama banget muncul nya dong baik,1.0
pokoke jooss,0.0
knp kok susah bgt kalo mau pesan yg mobil gak nyantol nyantol sekali nyantol sama driver nya dibatalin,0.0
baik ramah utama selamat,1.0
sosialisasi scam asu,0.0
terima kasih atas layan nya,1.0
terimakasih,1.0
mantap cepat luar biasa terima kasih,1.0
ssbenarnya arti promo apaa sihsy g mslh dgn harga cm g sesuaidiapliksi da otomatis potong promo taapi pas byr hrga normaltolong baik lg cukup sy aja takut kena org lg ba berabe,1.0
percuma aku isi saldo aku maxim wallet ujung ujung gak dipakek beda sama gojek biss bayar non tunai,0.0
banget ramah nyaman,1.0
mudah layan bagus,1.0
order taxi driver jdi anyep gegara apk tumpang lgi eror sama apk adriver saling berhubunganminimal kalau buat aplikasi jgn bikin rugi driver jdi driver prioritasujung ujung anyep,1.0
aplikasi ktl suka eror jan cok,0.0
maxim kau sama rata order dulu masa iya ngk sama sekali order kau kasih sama,1.0
alamat yg datang driver motor selalu sesuai dgn aplikasi yg datang selalu beda driver sangat ramah apabila cancel driver baca maps erti cara guna maps aplikasi nya,1.0
buruk,0.0
terimakasih sangat bantu,1.0
driver nya ramah,1.0
selamat tuju,1.0
akhir kali naik maxime kemaren apesss banget hilang handphone pas lacak mobil si supir mau ngaku yasudah lah,0.0
kerja terlalu paksa download pdhl ga niat sama sekali,0.0
semngat twrus,1.0
good,1.0
bonus hilang,1.0
baik banget top dech,1.0
good driver,1.0
terima kasih antar tuju maxim sukses selalu,1.0
verifikasi nomor telepon sangat lamban,1.0
pesan ojek maxim lalu drivernya bilang sedang makan suruh cancel aja kalau lama lalu cancel drivernya malah marah nyalahin bilangin kalau maxim bukan supir pribadi lah kalau sen jangan mepet waktu lah padahal driver sendiri salah minta ambil order kalau sedang makan punya hak atur customer kapan pesan ojek maxim,0.0
sangat bagus,1.0
mudah segala nya,1.0
aflikasi kocak masukin no kode kaga muncul sampe kali kocakk,0.0
sampa tuju suruh ngepasin rb buat tmbahan bensin krena jarak datang jauh info sekali lah umur hidup pakek maxim lwbih better grab sesuai apk kasih kok tips cuman y jngan d target gitu kesanya kan nak palak,1.0
kembali saldo tadi top up lewat gopay biaya admin api pas cek akun maxim malah tinggal,0.0
top up kaspro gamau nambah akun maxim nyusahin aja,0.0
sangat bagus,1.0
drivernya angkuh semua emosi mulu,0.0
aplikasi sampah titik jemput susah tuju cari sering error,0.0
baik maps,1.0
aplikasi baik sering error dak buka,1.0
mau batalin sen makam aja susah gak banget,0.0
baik masalah map nya masak tiap hari ngrefresh terus terus,1.0
aplikasi ga jelas sumpah,0.0
baik,1.0
good,1.0
user gak bagus,1.0
mantap,1.0
sangat baiksangat ramahsopan baik driver nya,1.0
lama banget nungguin driver mau,1.0
payah nih driver maxim wilayah parepare deliverynya drivernya banyak yg ga mau ambil orderanmungkin ongkos murah yapadahal udh pakai cepat ga yg ambil jg,0.0
ramah,1.0
bagus,1.0
mohon maaf mohon tingkat layan nya banyak driver maxim kurang ajar sopan mentang mentang murah waktu sepelekantolong eprbaiki drivernya guna etika baik kalo perlu hapus aplikasi nya playstore sangat resah,1.0
gila driver kagag nunggu kasih fitur nunggu mnt nambah rb gila,1.0
layan baik,1.0
kapok naik maxim mobil bandara soekarno hatta mehong ongkos byk tambah biaya dak jelas drivernya beri sanksi mungkin putus mitra kayak ojol belah yg ijo tegas atur min,0.0
minta kode sms kasih kasih nya gilir minta kode tulisa jumlah minta lampau kode aja kasih udh notif lampau,1.0
baik ramah pemgemudi ny,1.0
driver ramah,1.0
aman,1.0
maps nya luar biasa bego,0.0
makin sini kerja bukan orang butuh orang gabut doang alhasil kerja suka suka aja knalpot brong stiker modif supirnya gak punya otak ga paham maxim jelek skrng,0.0
terimakasih drivernya sangat hati hati bawa barang,1.0
sangat bagus,1.0
susah login,0.0
sangat baik muas,1.0
pesan jam pagi jam konfirmasi kemudi burikkkkkkkk baik dlu,1.0
mantap,1.0
jaring minuslambat mana titik lokasi suka gak pas muter orang yg jemput baik lagisy jadi males pakai jadi,1.0
titik lokasi nya baik,1.0
rada soak udah kali nemu driver culas yg naikin harga barang yg beli nakal drivernya duh dong pengeurs maxsim tegasin drivernya jangan culas berkah pernah negur loh malah nyolot ribut bayar aja jelas kecewa harga biasa kali jadi suruh bayar yg harga mahalin,0.0
baapaknya ramah,1.0
good,1.0
sangat baik,1.0
baik layan,1.0
drivernya baik ramah terima kasih banyak,1.0
akun mau pakai maxim selalu logout mau pakai login gabisa karna gadikirim kode verifikasi lewat sms wa atau telpon,1.0
pertama kali akhir gunain aplikasi bonus kata buat bayar jalan pertama nyata cuma potong aneh pas udah selesai order potong ga laku aplikasi driver bayar tetep full padahal aplikasi customer potong pertama kali pake langsung kecewa,0.0
baik sekali mo cb pesan makan tp pas dibatalin ngga lalu cari mud jg susah banget kek ngga mau pas batalin suruh edit pas edit malah bilang pesan ngga jelas,0.0
driver mantap cekat dpt order lngsng wuuzzz nyamle,1.0
isi tipu semua,0.0
good,1.0
bgus ramah pengenudinya,1.0
ganti fitur food prioritas dong biar otomatis terima sama driver jd percuma fitur food soal driver gak mau terima order food kecewa,0.0
jalan nyaman,1.0
awal awal make sih bagus terus murah makin kesini kok makin mahal naik nya ampe padahal jarak cuma km,1.0
apknya bagus cuma drivernya ga punya sopan santun tumpang seblum seleksi satu drivernya jga nama driver sama datang sesuai foto drivernya,1.0
layan sangat baik,1.0
aplikasi bagus baikcuma mesan tiba tiba batal sama kemudi rugi sekali,1.0
baik,1.0
awal dri kastamer nyoba ikut jdi driver simak cakap umum area bal driver nya nyata saling makan teman sendiri alias ras hina sama driver maxim sama driver kalian laku kastamer tinggal maxim sendiri lebih baik sama pakai jasa aplikasi klo laku driver bal sangat minus kalau developer percaya silah masuk cakap umum area balilihat sendiri etika mes drivernya,1.0
suka aplikasi pihak cs driver driver rasa rugi karna adu tindak lanjut,1.0
sangat baik,1.0
datang tepat waktu nyaman lama dlm kendara,1.0
pesan ga dibatalin tuh gimana aplikasi busuk,0.0
terima kasih kk,1.0
bagus jalan,1.0
baik layan nya,1.0
lah masa buat buka apps nya aja susah banget internet connection lah error lah d baik worst app ever,0.0
pihak aplikasi lebih perhati sistemnyamasa tarif mengqadha tuju beda harganyakalau beda sedikit masalah beda harga lambung tinggi,0.0
aplikasi sampah ndk mau terima order pas hujan alas nya banyak banget,1.0
good job good driver thank u,1.0
sangat sopandan nyaman,1.0
bagus layan,1.0
sangat bantu proses jalan jauh,1.0
terimakasih info,1.0
sangat kecewa sama maxim lama banget order cari laksana dekat lama sekali jauh jauh semua ojek,0.0
tambah fitur lapor driver sya lebih x driver nyari untung sendri dbayar kirim barang malah minta bayar anterin barang bayar sekarang barang ga tempat utk developer tambahakan fitur costumer minta support apabila keluh,1.0
burik sekali mapsnya apk suram,0.0
sangat baik saldo yg isi guna,1.0
antar baik cepat,1.0
mau daftar aj susah keburu laper gua nungguin kode kg muncul pdhl nomor ud bener enak pake gojek emg,1.0
maki maki sama driver karna masalah sepele,0.0
apk anj ga apa guna driver ga yg muncul,0.0
driver baik sekali bgt,1.0
good,1.0
aplikasi gak jelas,0.0
orang nya baik enak ajak ngobrol,1.0
nyaman aman lancar,1.0
mantap,1.0
abang ramah baik okee,1.0
baik,1.0
baik sedikit apk minta kode otp aja ampe ulang kali anjay,1.0
gk jelas order maxim map nya gk beres buruk sangat aplikasi maxim,0.0
terimakasih kendara baik,1.0
bayar selalu ga sesuai harga awal,0.0
orang sangat ramah sabar,1.0
mantap,1.0
baik,1.0
kemudi nya macam pepek semua ngambil order gak gerak udah menit lebih org nunggu tak gerak jadi lambat org mau kerja ajg,1.0
plus lebih murah ketimbang ojol lain minus map terlalu bingung driver delivery selalu ambil yg posisi jauh padahal terang cari laksana dekat ga pernah dpt driver dg jarak kurang km,1.0
senang,1.0
sering telat sekolah garagara drivernya lama jemput kek ga niat jadi ojek kalo ga niat ga usah ngojek dong pernah mau berangkat drivernya malah pergi ninggalin jadi paksa pesan yg dh order hampir nunggu menit ga respon drivernya nyata malah makan kek bilang dong kalo makan dah nunggu lama gitu malah ga bilang alhasil telat dong aku sekolah kadang dah nunggu lama terus dah cancel malah baru gerak kek apasih niat ga jadi driver ojek,0.0
good,1.0
mantap,1.0
jangancoba pesanpijit disinigara pesanpijat disinisya rawat dirs,1.0
maps nya susah titik nya sesuai terkadang nulis alamat muncul lokasi nya akurat,0.0
buat apliksi bagus dikit soal nya daftar lama ko minyak no hp lgi lgi penting nian mau mesan maxim dx sangat kecewa aku sengaja ngasih pontang satu kerna dx perotes,0.0
aplikasi bobrok gak login terus gak,0.0
sangat baik,1.0
terimakasih,1.0
jelek bgt masa iya ongkir jd x lipat dr sblmnya biasa rb jd rb ga bgt maaf sy unnistal dulu tarif balik lg awal,0.0
layan sangat baik,1.0
bagus,1.0
kaspro lebih nyaman,1.0
bagus aplikasi maxim nya,1.0
driver ramah,1.0
driver sangat ramah,1.0
berhatihatilah bila guna jasa semua driver nya orang ramah,1.0
langgan amanah trbaik,1.0
makin lama makin parah login gak suruh periksa koneksi internet padahal kouta,0.0
mantap,1.0
kdang eror,0.0
terimakasih pengantranya bagus orang ramah,1.0
sangat baik,1.0
bagus,1.0
mohon evaluasi driver maxim nya minta harga tinggi buat tunggu yg sangat lama trus tumpang suruh tunggu karna driver mau jemput keluarga dulu,1.0
mantap mas paling ramah panjang jalan salam kenal,1.0
puas,1.0
bagus,1.0
mantap layan driver ramah,1.0
mantap pokok nya,1.0
sumpahhhh plisss baik pas dapet driver dering ih sumpah hapeku tinggal jam ampe jam dering nyala ampe batre ku mau habis ih sumpah kesel kali aku,1.0
aplikasi kok ganggu terus,0.0
good,1.0
ramahbaik,1.0
bawah rb gak yg mau ambil order,0.0
sukses maxim,1.0
login costumer susah banget ngaq masukmasuk sms nya pass mau login,0.0
maxim telor gmna mau ngorder aplikasi butuh kode verifikasi gak muncul kode hancur usaha mu telor kalok kek gin ngapain pake kode alhasil gak jadi ngorder pakai gojek ajatolong hapus kode verifikasi bikin susah aja,0.0
apk sampah anak aku maki driver cuma masalah titik jemput padahal titik jemput sesuai biasa order lebih tegas driver training ulang perlu minimal pake apk maps jadi customer ga jadi korban driver kalian,0.0
susah banget nyari drivernya trus kode sms nya lama,0.0
driver ramah sangat cepat pkoknya mantap,1.0
lama nunggu order ga yg mau ambil order,0.0
sayaa mesen makan bayar sesuai aplikasi kecewa,0.0
bpknta ramah sekaliterimakasih,1.0
bener kecewa ama supir maxim masa iya dalem mobil nya barang bilang udah mana dalem tas barang harga semua apa sarung hargane jutaanhadeehhhudah mana ngotot lagi supirne,0.0
mantap,1.0
mantap layan,1.0
mau bayar pake non tunai top up maxim wallet malah ga kepake uang gimana mau maju aplikasi indonesia kalau gin kembang,0.0
kalau mau pesan login tpi login kode otp tdk masuktidak kirim,0.0
dong driver kalau pakai voucher kasi tau jangan main nyolot bilang biaya kurang gmn si maxim,0.0
aplikasi lot aplikasi driver paling bawah banyak bug sinyal bagus malah baca jelek,0.0
sangat bagus,1.0
baik sopan ramah baget,1.0
motor bersih rapi bagus cepat on time perfect lah,1.0
fast respon ramah ongkir sesuai aplikasi,1.0
sangat buruk slalu alami sulit mes maxim mobil sering cansel kemudi nya susah cari kemudi map susah cari padahal titik nya benar,0.0
good,1.0
ramah baik,1.0
aneh,0.0
sangat baik,1.0
terima kasih,1.0
hati hati,1.0
burukkkk susah banget aplikasi nya ribet mau ngebatalin pesan gak pdhal udh cari driver hampir menit,0.0
bagus,1.0
maxim error apa gimanasaya gak order tibatiba masuk chat driver orderperbaiki gi deh bug nya,0.0
ojek abal banyak tipu,0.0
banyak driver nda ad yg mau ambil pesan sayamaxim sangat pilih seksrang area samarinda,0.0
update biar order fiktif customer hidup lokasikarna banyak driver keluh customer tanggung jawan,0.0
aman,1.0
titik maps gapernah pas selalu lenceng beberapa kali pake maxim aman aja tp kemarin drivernya aneh malas cari jd paket aku kasih k orglain yg jelas aku jg gatau siapa tp gada kabarin pdhl udh bayar sblm otw ak komplen baru ngmg hhh emosi bye gw uninstal aja driver ga amanah bom kerja aja udh minta bintang bagus pdhl kerja ga beres,1.0
keranjang pesan makan tdk buka sama skli,0.0
aneh aplikasiga atur live chat customer service mungkin baru lebih mudah guna,1.0
bagus,1.0
baik,1.0
aplikasi nya jelek buka maps nya gak,0.0
sangat baik,1.0
bagus,1.0
bagus banget,1.0
map nya gak bener gak baca,0.0
senin pagi tanggal juli bayar pakai e wallet e wallet penuh bayar driver malah keluar order alih bayar tunai bagi dana kartu gagal blokir buangbuang uang,0.0
makasih pak driver antar kakak selamat tuju moga sehat selalu lancar rizkix,1.0
baik,1.0
kurang kurang ganggu min aplikasi terlalu sering ganggu eror,0.0
mantap,1.0
baik,1.0
driver nya baik banget org nya kata selamat,1.0
sangat ramah sekali,1.0
aplikasi buruk masa mesan malah anggap ngerjain padahal niat mes,0.0
kasih jempol,1.0
good,1.0
kemudi ramah,1.0
lah mitra maxim driver nya bina nomor telp driver aktif bukan wa mudah tumpang telpon sering driver nomor telp aktif nomor telp beda,1.0
ko g masuk aplikasi ny ulang kali minta kode verifikasi ny muncul baik lalu pesan suara maupun via sms baik benerin aplikasi ny,1.0
banyak alamat yg cari suka gx ketemu yah mohon bantuannyah,1.0
responnya bagus cepat ramah trimkasih,1.0
padahal harga jangkau peyanan nya banyak cabul nopol gaff,0.0
ko jdi anehsi malah gbs msk pemberitahuan gada layan jaring internet g stabil pdahal buka sosmed pake data pribadi ttp aja gbs msk adapaya,1.0
nyaman asik,1.0
bohong jir adminnya seko dapet potong nya perak parah galagi dah trauma yg mau dowload jgn dowload mending dowload grabgojek,0.0
baik orangnyacpat,1.0
maxim makin sini makin sebal plus driver nya,0.0
layan sangat bagus,1.0
baik,1.0
terimakasih,1.0
doong kalau topup saldo kaspro langsung otomatis kagak perlu nunggu hari isi rb masuk cuma rb rugi doong,0.0
trimakasi udah antar tuju,1.0
layan kurir nya bad,0.0
bagus,1.0
mantep layan bagus harga jangkau driver ramah pas buat warga indonesia,1.0
aplikasi paksa suruh download padahal simpan udh penuh mana maksa,1.0
susah nyari driver padahal kota medan,0.0
sangat baik,1.0
mantap,1.0
maxsim baik sekali sombong patut contoh karna sopan baik bicara segi apa cerita masuk,1.0
dwonload maxim pas login masuk kode beri padahal nomor telpon nya udah bener,1.0
aplikasi knapa si ga buka sama sekali aneh,0.0
ramah abang,1.0
sangat baik kemudi,1.0
terima kasih,1.0
jangan mengunakan aplikasi pernah dipranknunggu jam gak muncul muncul ojek nya,0.0
jelek kecewa drivernya gak etika sopan santun nya,0.0
driver laksana minta nomor wa kasi nah wa chat bsa gak ongkirnya rb padahal aplikasi rb gue cancel aj jdi malas order maxim telah parah nih oknum kayak gin,0.0
keren hati buat bapak nya semangat terus,1.0
bagus sekali kemudi ramah,1.0
murah driver semua sombong susah cari laksana,0.0
sangat muas playanan tepat waktu jemput,1.0
order penuh moh alham nur motorcycle warna putih nopol ddxba terima kasih atas jalan rating,1.0
driver sangat ramahtrim kk,1.0
aplikasi baca maps baik moon bincang,1.0
jaga tatakramanya driver saudara perempuan trauma takut akibat sering tanyatanya aneh udh punya pacar lah tempat tinggal dmn lah minta wa nya lahdll kalo jadi ojek udah pokus aja kerja ngomong wajar aja,0.0
kakak tepat waktu baik ramah,1.0
drivernya mohon bimbing,1.0
makasih kaka,1.0
cuma maxim yg driver kurang aja sama customerjngan duit dong yg perhatiin customer bukan raja kalian butuh customerdriver kalian se olah kalian cuma ga penting,1.0
baik sekali,1.0
jelek banget mau cancel gabisa order,0.0
chatnya suka ga notif,1.0
cukup baik,1.0
order penuh syahrani toyota avanza warna hitam nopol dajv terima kasih atas jalan rating,1.0
tiba hariandi viky firdaus motorcycle warna hitam nopol baif selamat nikmat jalan rating,1.0
bagus,1.0
baik,1.0
good mantaap,1.0
baik,1.0
very good,1.0
nice,1.0
sangat puas,1.0
trima ksih bntuannya pak,1.0
bagus,1.0
baik,1.0
entah bug apa udah x order tempat beda gabisa nemuin lokasi koordinat mungkin salah ditangerang search lokasi tangerang muncul depok,0.0
terimakasih mb,1.0
enak diem nunggu mobil datang eh pas udah nyaut malah suruh loginsaya udah login pas waktu minta verifikasi ga kasihmana baru pulang kerja otomatis ken cepetsampe rumah eh malah gin hadeuh hadeuhhh minimal jangan suruh login lagisaya jdi ga sen maximmau donwload aplikasi ga kuota maxim burukkkkkkkk,1.0
tipu sangat gila orang susah aja sampe porotin ampe melarat kalau tipu sini ribut aja sama banyak apa tipu ladenin,0.0
mantap,1.0
terimakasih,1.0
bagus,1.0
nyaman ramah,1.0
makasih mas hati jalan berkah mas,1.0
gmn sih udh top up e wallet tp pas mau byr g guna hnya byar cash trs uang e wallet apa mau memghubungi siapa jg bingung aplikasi,1.0
maxim maxim kasih titik yg jelas dong gimna mau banyak minat kalo ngasih titik blom jelas,1.0
oke,1.0
burukpemesann maxim lama sampai,0.0
terimakasih bapak devi gusti sangat ramah enak ngobrol nya,1.0
baik ramah,1.0
abg drivernya ramah,1.0
sangat baik,1.0
makasih pak maxim semangat terus,1.0
mau masang aja susah,0.0
sangat baik,1.0
driver ramah,1.0
aplikasi tolol pas lg mau order malah gak nemu titik yg mau tuju edit gak gw rubah ulas sblm benerbener baik map nya gw ribut sm driver garagara minta cas notif nya henti titik tp jauh dr tmpt gw ada gak sesuai dgn posisi gw udh klik notifikasi trus bunyi,0.0
baik,1.0
kt ii drevernya jujur hp ketingalan hp mobil orngnya baik,1.0
jelasmntak nomor tlpon kasih,1.0
baik tepat waktusmoga sllu amanah,1.0
sangat baik,1.0
sopir banyak asik jg yg kaya orang galak tp gtw,1.0
layan mantaptym,1.0
sangat buruk susah banget nyari lokasi lokasi temu mu cari pakai gojek cepat temu lokasiny segera baik,0.0
hoaxxx mana rbu kau janji hdehhhh,1.0
to maxim laku isi saldo maxim kaspro utk bayar maxim car bayar alih tunai bayar tunai saldo maxim kaspro sya potong minta jelas tanggal transaksi,0.0
susah buat pilih lokasi,0.0
keren aplikasi tq sdah jadi solusi transportasi online yg sahabat,1.0
baik,1.0
terimakasih layan sangat ramah,1.0
ramah baik,1.0
layan jasa transportasi buruk harga aplikasi tumpang sama drivernya beda kalau mobil aplikasi nya drivernya sangat buruk sekali apa banyak driver maxim minta bayar lebih beda aplikasi tumpang nya sangat buruk sekali,0.0
kendara sangat bagus,1.0
sangat baik,1.0
nominal kecil driver ga yg mau nerima,0.0
mau bintang tunggu dulupeta mapz nya maxim akurat pihak maxim baru peta mapz nya yg lama banyak kurang nya,1.0
sagat baik,1.0
gede bgt potong admin nya woyyyyy gw mo ngirit malah rugi mana mud jrg punya kaspro lg kensel mulu gw fakyu,0.0
bagus,1.0
promo kayak aplikasi lain kasih promo aplikasi ijo belah biar costumer makin tambah mudah cari alamat tuju alamat jemput,1.0
driver maxim ga jujur harga aplikasi tera ribu driver minta uang lebih tumpang rb jadi gak nyaman pake maxim,1.0
good,1.0
aplikasi d perbaikisusah skali d cancel bahaya driver costumer,0.0
aplikasi bodoh direver nya profesionalkalau pesan makan nya sikit gk da yg responpadahal kan fee nya jgk kecewa lahgk usah lgkalian pakek apk ni,0.0
baik,1.0
mantap,1.0
nice good,1.0
drivernya baik,1.0
driver good jobs,1.0
good,1.0
tepat waktu ramah luar biasa,1.0
makasih bang,1.0
parah driver males susah terima pesan jumlah kecil,0.0
driver ramah,1.0
keren sangat bantu,1.0
gak jelas maxim susah cari patok titik alamat,0.0
driver ramah,1.0
respon nya baik,1.0
maxim sekarang kurang bagus driver jalan tumpang kena waktu tunggu titik kena carger waktu tunggu harga,1.0
sangat baik,1.0
opsi cancel jelas jalan keluar,0.0
loading lama hp spek itel p nfc aja ram gb aja ngak masuk,0.0
brang tinggal driver maxim bukan pulangin mlh bawa pulang komplain kemna yaa parah ga jujur susppen kendara driver yg rugi customer,0.0
buruk banget mau order pake mobil aja driver nya banyak tingkah padahal bayar sombong bintang satu deh,0.0
fitur kurang mengoder transportasi alamat nya sesuai dgn yg d peta titik jemput tuju tumpang kadang baca peta lebih parah nya lgi tumpang tdk ad fitur chatnya order transportasi kecuali si kendara maxim akhir kdng lokasi jemput tdk sesuai tumpang memberitahu lokasi tepat tdk krna tdk ad fitur chat nya tumpang akhir sering jadi mis komunikasi,0.0
driver lu jangan genit ama cewe orang,0.0
ga pake maxim dapet beberapa kali driver bad attitude ngatain langgan bodoh tolol gais plis jangan pake maxim lgi selamat kalian aku sering bgt denger alam temen ku pake maxim laku baik mending mahal dikit pake apk belah murah ga safety bad,0.0
nyaman,1.0
gimna cs mau tahan kalau aplikasi eror mulu,0.0
susah banget dapet kemudi driver padahal banyak kemudi dekat,0.0
driver ramah kasar,1.0
isi saldo maxime wallet lalu saldo bank yg isi ga sesuai sm nominal waktu top up nya hadeh,1.0
topp no komennn,0.0
aplikasi baik terima kasih maxim,1.0
aplikasi tdk guna buruk batal pesan ad perlu tiba sdh info driver mna driver tmpat tuju driver ngamuk sya malah blokir login terima kode verifikasi apa pemberitahuan konfirmasi benar aplikasi buruk admin drivernya laku buruk,0.0
sip orang nya ramah,1.0
driver jalan mobil tumpang smntara naik blm tutup pintu mobil gmn tuh mhn dprhtikan selamat perlu ada sop layan,1.0
apa bgt dri sekolah dpt rb saldo maxim emg masuk siee tp ga d pakeeeee ampun bgt dahh awal jg udh curiga si masa iya orang rb bang ikbal gua tandain lu,1.0
good,1.0
baik kadang eror pesan makan nyata yg datang driver tangan kosonghadi baik sistem kalo pesan gx batal,1.0
bagus,1.0
aplikasi costamer maxim buka padahal nomor hp benar,1.0
kecewa drivernya ga bener bisa bawa tumpang pakai mobil rusak alhasil dampar jalan mana bawa orang pertama akhir kali pakai app,0.0
supir nya ramah,1.0
