Ulasan,Prediksi Sentimen,Label Prediksi,Label Asli
murah sih sayang susah banget buat kemudi kadang ga dateng dateng heran banget tingkat dong,0.110425234,0,0
sopan baik sekali,0.999550698,1,1
terimakasih pak,0.999549609,1,1
menu uang jadi top up akun maxim,0.953524675,1,1
susah login,0.0704723,0,0
mana kata kasih diskon ujung suruh bayar harga normal sm driver nya padahal bawa duit ngepas untung aja tambah,0.997504493,1,1
baik,0.995368531,1,1
banyak driver nakal adu gak direspon driver enak naik tarif pake wallet kaspro lgsg potong karna driver naik tarif order selesai padahal gak naik adu sampe hari gk respon pihak maxim,0.038963497,0,0
mantap,0.997492459,1,1
aplikasi mesan sering eror,0.045546889,0,0
yg sdh bgus cuma gofood nya sja baik masa mau pesan makan tdk bayar dasboard non tunai,0.801204532,1,1
ramah sopan nyupir nya safety banget mobil nya enak bersih paham rute cepat,0.999944127,1,1
bandara kualanamu booth maxim tgl agustus jam cek harga bantu pesan sama pegawai trus datang driver nyata taxi bandara ilegal kerjasama karyawan maximbaru kali kecewa maxim bukan permasalahin ribu jadi klaim kantor history transaksi aplikasi bagaimana jalan akhir kali pakai maxim keluh jg tdk direspon app maxim,0.007676482,0,0
baik sikap sifat drivernya khusus kota medan istri pesan jco malah minta nomor wa tiba gak kasih nomor wa malah suruh batal pesan,0.99884912,1,1
luar biasa manfaat,0.997701807,1,1
driver nya hampir gabisa bayar pake kaspro susah nyari uang kecil sekarang tuh udah ngisi kaspro eh malah ga kepake gara pd gabisa byr pke,0.004647493,0,0
susah nyri driver,0.056973517,0,0
sopir ramah sopanpokoknya mantap deh,0.999967123,1,1
terimakasih sangat muas,0.99845794,1,1
mas nya ramah mirip cwo,0.999675937,1,1
baik,0.995368531,1,1
maxim lah laksana nya cepat terlalu lama harga naik layan kurang oke buat apa,0.999377251,1,1
aplikasi susah pakai,0.047151148,0,0
baik ramah,0.999967682,1,1
baik pelayanannyq,0.998394382,1,1
hal knapa chat sering gantung lama sekali masuk trkadang jdi salah paham driverdtiver depan pintuchat baru masuktlg baik,0.907657512,1,0
driver maxim car tolol kaga mau yg nerima order pantas sebut driver sampah,0.868063852,1,0
drivernya baik sopanrapihmotornya keren bersih,0.999969491,1,1
kerja baik ramah murah senyum thanks maxim,0.999972664,1,1
kasih dong mode motor tumpang min baru ku kasih bintang,0.999926096,1,1
driver layan baik,0.998634168,1,1
good service tarif sahabat,0.999916666,1,1
kalau admin jangan mahal ubah terus adminnya motongnya ngeri banget kemarin sekarang mau apa sih konsisten jang rugi langgan kesel,0.021745682,0,0
insyaallah jemput harga murah bangettt,0.804035947,1,1
driver nya ngga sopan,0.101936519,0,0
aplikasi tida guna tida mampu deteksi alamat tuju ketik alamat tuju yng nongol malah daerah aplikasi kacau ga mampu saing sma greb gojeg lebih murah klo ga jelas ga guna buat apa mng ga uji coba jdi tumpang lebih dulu main jalanin aja jdi ga tau fungsi baik apa ga nya klo kondisi aplikasi nya siapa yng mo pake orng ga pake kok,0.030565381,0,1
ramah sopan,0.999667285,1,1
mau batalin sen makam aja susah gak banget,0.011647522,0,0
layan baik muas,0.998742108,1,1
driver baik ramah sopan,0.999969818,1,1
aplikasi gak pake kirim otp nomor hp gak ganti nomor gak,0.013244271,0,0
sangat bantu aktvtas transportasi,0.998744716,1,1
baik,0.995368531,1,1
driver sngt ramah baikmksh bnyk pak sht sllu lancar rizkinya,0.999777054,1,1
massnya sangat ramahh,0.865874916,1,1
layan baik,0.998077869,1,1
sangat puas,0.999019802,1,1
mantap abis,0.999181958,1,1
isi kaspro tau saldo jadi bahaya banget sih,0.307867408,0,0
alamat yg ad maxim g akurat jd nya sy salah kasih lokasi buat developer kali cantumin alamat tuju lengkap jgn cmn tengah situ niat kerja ap g kerja,0.839912593,1,1
orang kasi kode promo rb pas pakai malah tetap bayar mana rb sempat orang punya uang gmna coba minimal g usah kasi promo kalo pakai,0.69450134,1,0
jujur jujur,0.999670382,1,1
semangat pa,0.978932282,1,1
sangat baik,0.999041865,1,1
sangat senang nyaman lebih sabar kalau bawa mobil soal tau d kota memang semua orang rata keras kepala baru tdk sabar bawa kendara apa lg kalau tengah jalan besar ntah siapa yg lebih lama makassar apa yg jelas cm saran sedikit d makassar bas tahun lama dr wajo kota sengkang jl a macca amirullah adek sepupu pak arbit yg tugas polres,0.999145631,1,1
jelek bgt aplikasi pakai e wallet bagus gopay kapok bangetttt oakai aplikasi gak percaya ewallet nya,0.02855289,0,0
kurir ramah mantap,0.999972183,1,1
apk nya baik udah order gak chat,0.962655358,1,1
drivernya sering tolak order,0.064230859,0,0
sangat baik buat bp ade yana trimakasih sopan nyaman cepet respon,0.999964191,1,1
malah nunggu delay dulu mnt,0.223389924,0,0
aplikasi error buka padahal butuh urgent,0.024570942,0,0
baik,0.995368531,1,1
ramah enak ngobrol nya,0.999967824,1,1
nya sangat suka maxim mobil banyak supir nya kurang ramah jadi nyaman terus tarif nya suka tambah,0.999760524,1,1
aplikasi error gabisa buka,0.050346315,0,0
puas,0.995136427,1,1
good,0.997505589,1,1
ramah,0.997082216,1,1
terima kasih bapak baik,0.999989443,1,1
ramah,0.997082216,1,1
salah antar jadi jalan jauh jadi,0.074966073,0,0
rata rata driver bad attitude maps pernah akurat sangat bad layan,0.003193855,0,0
apk tipu buto,0.170705676,0,0
orang nya ramah,0.999703366,1,1
makasih abang nya baik banhet,0.99995119,1,1
masa bayar parkir sendiri,0.249054492,0,0
rekomendasi alamat sering salah lengkap maps pesan pasar tempel magelang malah kirim pasar turi harga memang murah rasa update maps nya,0.009967566,0,0
peta baik,0.991495937,1,1
baik,0.995368531,1,1
cepat selamat,0.996827052,1,1
bagus sangat bantu,0.999955903,1,1
baik,0.995368531,1,1
aneh banget cuman order satu malah perbaikin dong jadi pusing kalo order,0.005371153,0,0
sangat bagus,0.99879462,1,1
sangat bantu terima kasih maxim,0.999965888,1,1
ga jelas anjg orang pesan kendara mobil awal k jadi k padahal ga pencet apa apa tempat jemput samapai tuju dekat tp malah ga jelas maxim ngasih harga begitudikasih harga maxim nya langsung k padahal awal k gaje,0.403059423,0,1
bagus,0.994124967,1,1
baik,0.995368531,1,1
the best,0.998245866,1,1
akhirakhir oknum driver nakal kirim barang driver datangdatang jam an dichat respons cancel dicancel driver datang nada dicancel minta offline kata aplikasi maximtermasuk map nya error jadi sebut alami sekali cara,0.003610432,0,0
enak diem nunggu mobil datang eh pas udah nyaut malah suruh loginsaya udah login pas waktu minta verifikasi ga kasihmana baru pulang kerja otomatis ken cepetsampe rumah eh malah gin hadeuh hadeuhhh minimal jangan suruh login lagisaya jdi ga sen maximmau donwload aplikasi ga kuota maxim burukkkkkkkk,0.943414461,1,1
ganti fitur food prioritas dong biar otomatis terima sama driver jd percuma fitur food soal driver gak mau terima order food kecewa,0.030489981,0,0
layan baik,0.998077869,1,1
oke,0.994186807,1,1
salah masuk blok krna maps yg tdak baik,0.845478237,1,0
oke nyata,0.99931761,1,1
order penuh ilham sudy pratama motorcycle warna putih nopol adk terima kasih atas jalan rating,0.999799679,1,1
sangat bagus layan,0.999125544,1,1
mantap,0.997492459,1,1
baik,0.995368531,1,1
terimakasih,0.98452041,1,1
oke mantap,0.999965538,1,1
woi kau betul kan lah aplikasi mes food kau batal pesan nya sekali kecewa sama maxim lpadahal udah sering pake maxim baru sekali ni kecewa dancok,0.010629296,0,0
semangat bang,0.996321484,1,1
sangat baik ramah,0.999975051,1,1
sabar sopan ramah jazakallahu khair,0.999871339,1,1
sangat bantu sangat baik layan nya,0.999920547,1,1
driver nya baik amanah,0.999809989,1,1
aplikasi buruk sedot saldo sembarang padahal kemudi minta cancel saldo potong habis kembali sangat kecewa sekali layan isi saldo lama masuk jadi,0.004050016,0,0
aplikasi yg tak pantas guna jumlah bayar yg tak sesuai banyak sopir tukang korupsi,0.017120957,0,0
aplikasi ojek online yg mudah guna tarif murah cepat datengnya layan oke,0.999431676,1,1
nambah gak datang datang ck,0.079923511,0,0
foot nya gak jelas,0.199730337,0,0
kadang susah buat cari titik pickup,0.019367516,0,0
woeee hp ga balikkk tinggal maximmmm bagaimana mana tele tele email lambat responsekalinya respon ga sesuai sama keluh jawab kasih nomer telfon driver tp drivernya ga ad respon jugaaa hadehhh kacau nihh memang teledor hp tinggal tp mnit stelah turun dr mobil sy lgsung hub hp ga silent logika nya driver dengar hp mati ga dihub masalah hp yg tinggal hp u orderjd susah jngkau drver,0.028906226,0,0
aplikasi maksim sekarang jelek bangat minta biaya tambah isi chat nya bt d depan alfa kk kasih ratus lima puluh jua bale kosong ee baru su lat lai klo jadi bt jemput,0.138671875,0,0
baik,0.995368531,1,1
aplikasi aneh banget gue kalo mesen sering kasi driver yg jauh banget buat jemput gue padahal gue order tempat yg deket aja kasi drivernya jauh pickup tumpang argonya murah jelek lah poko aplikasi,0.016448319,0,0
aplikasi sampahh buka mudah malah sulit login terus aja muter apk kontoll,0.024181426,0,1
kaspro biaya mahal token listrik lebih mahal beli konter admin sajabeli kaspro adminya,0.162915885,0,0
aplikasi bagus jangan bekerjasama kaspro,0.999328639,1,1
baik good job,0.999984667,1,1
oke,0.994186807,1,1
adain fitur batal pesan bagi foods cape nunggu menit cuma buat nunggu batalin,0.215676129,0,0
ramah,0.997082216,1,1
sangat bantu,0.996264019,1,1
kecewa pesan awal aplikasi tuju harga ubah jadi terus mau turun gue tanyain berapa terus gue mintain sama supir jdi alas gak enak bandara loby padahal gue bal aman aja ga masalah pke maxin lah lah makassar gue kentel dgn harga gak sesuai aplikasi,0.007180989,0,0
ramah enak ajak bicara,0.99996043,1,1
banyak kurang dah driver tp hilang sendiridan jangkau maxim sangat kurang,0.030494094,0,0
bagus drivernya ramahsaya puas,0.999973854,1,1
mantaps seru sama babeh,0.91837845,1,1
hampir mau mati buat driver nya mohon lh buat ingat tdk jadi kecewa btl liat maxim meski cepat sampe tp nyawa hampir ilang buat,0.029207647,0,0
login susah,0.073337972,0,0
kasih diskon dong min,0.999505239,1,1
nuhun pak supir sukses,0.999265941,1,1
payah order makan aja gak yg respon,0.0185498,0,0
baik,0.995368531,1,1
tidaj guna aplikasi nya mau login kode otp kirim sampe sekarangdriver banyak tolak kaspro turun bintang nya dlu kalau aplikasi udh guna baru kasi bintang penuh,0.084191918,0,0
aplikasi bagus hari driver kirim pesan pantas lalu chat mohon ditindaklanjuti,0.997915861,1,1
drivernya sangat ramah thx yah,0.99970605,1,1
dong developer pantau drivernya masa barang bawa kabur no blok plat nomor kendara b hku mobil merek daihatsu sigra warna putih driver nama nico kamaludin itikad baik barang dagang moga tindak dri sangkut utama pihak maxim terima kasih,0.971779877,1,1
tiba keluar akun dah nomor hp yg daftar gak aktif padahal guna lama maxim tahun sampe skrg guna aktif,0.957307931,1,1
kalau mau pesan login tpi login kode otp tdk masuktidak kirim,0.017705321,0,0
mantap pak ramiris,0.999905976,1,1
baik maxim masuk akun,0.999348839,1,1
lokasi jemput antar susah map,0.088489234,0,0
sangat bantu,0.996264019,1,1
maaf nih aku kasih bintang layan bagus murah tempattempat kurang banget aja gak nemuin titik mau kunjung baik yah,0.999550165,1,1
tipu anjeng,0.249496579,0,0
solusi baik,0.999501026,1,1
titik aplikasi beda yg input driver udah kasih tau tp ngk pikir buat cari gmaps pdhal udah tau titik aplikasi eror yg driver muter menit cari alamat akhir tambah biaya krn bilang nya driver sdh tunggu biarin aja allah yg balas,0.320511639,0,1
alami bug gambar gerak susah lacak kemudi mohon benar,0.666124165,1,1
sistem buruk bagus pikir driver,0.520428568,1,0
banyak kendala otp ga masuk minta solusi cs website email gaada balas sama sekali aneh,0.008033752,0,0
sangat baik,0.999041865,1,1
driverx baik,0.998569001,1,1
maxim ewlalet guna semua driver terima terima cash,0.99435955,1,1
nice,0.963889211,1,1
sangat murah cepat datang jadi suka,0.998035382,1,1
order penuh firman hariadi motorcycle warna hitam nopol nacv terima kasih atas jalan rating,0.999726994,1,1
boong lu saldo gak dipake,0.02729547,0,0
apa coba mesan makan ga cancel,0.071996689,0,0
cukup bagus,0.999086622,1,1
baik,0.995368531,1,1
ko g masuk aplikasi ny ulang kali minta kode verifikasi ny muncul baik lalu pesan suara maupun via sms baik benerin aplikasi ny,0.978077812,1,1
terlalu sulit login kembalimaps kurang akurat aplikasi hijau,0.010868549,0,0
mau login kode nya gak kirim kan tolol,0.025754452,0,0
ramah mud nyaman,0.999946739,1,1
bagus,0.994124967,1,1
driver motor banyak gilirang driver mobil nunggunya mau jam nggk dapet apus aja mending,0.025179327,0,1
puas,0.995136427,1,1
baik mas,0.999561685,1,1
baik sesuai,0.999153575,1,1
layan sangat baik sopan cepat,0.999798331,1,1
terimakasih drivernya sangat hati hati bawa barang,0.999319423,1,1
baik,0.995368531,1,1
susah banget dapet kemudi driver padahal banyak kemudi dekat,0.011501372,0,0
layan baik terima kasih,0.999980334,1,1
ramah amana,0.999013858,1,1
fitur batal pesan lengkapikrn kalau toko tutup gak batalin pesanannyadrivernya bingung masalah inisama maps nya baik lagikemarin senang pakai maxim akhir kecewa banget gak pernah ubah utama fitur batal pesan maps nya,0.004388273,0,0
sangat buruk harga mahal sesuai harap sistem nya sangat baik laku transaksi batal,0.638940275,1,1
maxim tolol koneksi tolol,0.048054457,0,0
sering tolak driver cari driver susah bgt driver bego semua,0.003471553,0,0
gila driver kagag nunggu kasih fitur nunggu mnt nambah rb gila,0.889671542,1,1
bagus,0.994124967,1,1
baik,0.995368531,1,1
mantap,0.997492459,1,1
order penuh gigih prihartono toyota agya warna putih nopol bpgc terima kasih atas jalan rating,0.999500611,1,1
jelek bangetsetiap paymant pake caspro wallet sllu tolak driverwlwpun sdh smpai tuju ttp minta cashaplikasinya batas,0.01790452,0,0
aplikasi jelek maps gada driver ga sesuai aplikasi,0.013611972,0,0
layan bagus,0.99756171,1,1
terima kasih semangat kerja pak,0.999984829,1,1
sering salah titik jemput titik antar,0.043225229,0,0
layan baik,0.998077869,1,1
bagus,0.994124967,1,1
bagus,0.994124967,1,1
good service,0.999194857,1,1
aplikasi maximnya gak login kecewa sama maxim sekarang jadi pindah aplikasi ijo,0.013740778,0,0
aplikasi cacat mau cancel order gak,0.012732446,0,0
maxim drivernya okee mantap,0.999512578,1,1
nyari driver buat sen makan aja susah banget padahal banyak driver nya nya aneh aneh kocak,0.003690302,0,0
mud ramah,0.99828892,1,1
terima kasih,0.999828042,1,1
ramah nyaman,0.999938673,1,1
jalan lebih mudah maxim,0.994587299,1,1
maaf kasih bintang sangat jengkel udah download pas mau daftar akun pakai nomor aktif tetap kode sms nya gak masuk,0.99500328,1,1
apps aneh batalin pesan food ga cuma ulang ulang ga jelas,0.010359228,0,0
layan kurang baik supir maxim gak bagus kerja baru baru nyenggol ibu ibu isi kresek nya kerupuk masa minta ganti rugi padahal lecet aja,0.549383849,1,1
baik,0.995368531,1,1
maxim cacat masa peta nya ga baca gimana mau tentuin lokasi nya,0.014331698,0,0
sangat baik sekali,0.999246159,1,1
ramah amanah moga lancar rezeki aamiin,0.999976869,1,1
ramah sopan,0.999667285,1,1
terimakasih atas layan nya,0.999127952,1,1
peta aplikasi gk lengkap gak akurat banyak tuju susah cari baik map nya karena tuju cari gak muncul peta maxim jadi alih aplikasi belah,0.004649043,0,0
jaring maxim online perlu pakai voucher potong segala buat ganggu jaring maxim ganggu langgan maxim sebut mohon koreksi jangan soksokan ubah jaring segala potong harga voucher segala relevan tau,0.786429361,1,0
driver banyak sok nolak order utama drivel mobil kalo antar jemput dekat kalo delivery food kalo udah capai k banyak mintak batal alas gak bawa duitpntk lah driverny,0.005324841,0,0
aplikasi paling aneh indonesia nama maxim driver yg dipake malah taxee driver kaya ga niat bikin aplikasi mana titik jemput ga sesuai jauh lah baik developer keluh banyak guna,0.492856562,0,0
aplikasi gak mungkin karna harga yg terlalu murah kalau kirim barang lama minta ampun driver nya lelet semua gak niat aplikasi kayak gin mending gak usah pake buat usaha gak profesional,0.011396408,0,0
tarif nya murah driver minta tip banyak langsung sesuai drpd konsumen rugi pesan chat ga masuk masuk,0.027555585,0,0
mantap,0.997492459,1,1
top banget,0.923932351,1,1
sangat senang guna maxim orgnya baik semua tdk kecewa tumpang,0.976352725,1,1
aplikasi sangat bagus auto uninstal aplikasi sihh,0.994722357,1,1
driver ramah,0.999018786,1,1
eror mulu ni apk terus driver nya ga ramah,0.189085722,0,0
gesit ramah,0.999196381,1,1
pesan carl l yg bagasi banyak terang gilir bagasi banyak drivernya minta nambah klo drivertu kasih ingat trs menu pesan apa masak uda harga carl l nambah,0.596605659,1,1
top,0.851508841,1,1
dibenerin bisa saldo ku baru isi langsung blokir,0.771598056,1,0
aplikasi apa isi data gk bisamau sen makan cari titik nya gk lah aplikasi nya baik jangan buat bingung,0.969004232,1,1
awal neng pke apk maxim tpi lama jadi muak sma driver nya yng minta lebihin lah mnding mnta dikit inimah banyak trs klw gaada kembali masa gw yng kesana kesini nyari kembali mna suruh minjem duit dlu kata driver nya males bngt bnyak mau nya driver maxim mah,0.592371315,1,0
sangat lambat kalau hujan banyak laksana tdk menerimabikin tunggu lama sekali cuman fokus tunggu lama,0.431956589,0,1
apa pas order drive mobil nunggu nya lama banget sampe dapet sekali dapet drivenya semena mena batalin pesan kalau x gk masalah berkalikali sampe x bayangin udh nungguin depan mall pikir udah dekat pemberitahuannya bakal sampe menit tau tau apa abang dateng kagak batalin iya kek gitu terus sampe x,0.017269433,0,0
oke banget,0.998381368,1,1
harga ekonomis layan oke,0.999084688,1,1
mesan sini kecewa mesan makan paket yg kasih cmn paket uang lari kan driver nyasudah lapor kn aplikasi proses aplikasi driver ny jjr hati guna jasa maxsim,0.799314022,1,0
fitur maxim walletkaspromenyebalkantidak info potong admin biaya isi ulanggiliran langsung tf masuk cuma gede x biaya nya,0.864585951,1,0
baru kali kecewa pakai aplikasi maxim aku gosend dg tagih rp jarak jauh aku tambahin ribu buat tip tp bayar emang yg terima barang terima barang tagih rp konfirmasi omong yg terima dokumen harus bayar rb malah bayar rb bukan soal uang yaa kok gak etika omong lebih,0.024653375,0,1
sangatt ramah,0.99956163,1,1
