processed_text,vader_sentiment
udah mulai rame yg make mpas ga baru kan konyol bngt keretangannya menit driver nya sampe tungguin udah ambil sampe menit blm sampe kan konyol mau ngambil untung aja,1.0
bagus,1.0
kode otp gak muncul lot,0.0
driver ramah,1.0
ramah,1.0
suka maxim oke,1.0
jelek anj,0.0
driver humble gak ribet good deh,1.0
hei maxim driver mu gak bener gak pernah kasih sangsi gak jera tuh driver driver maxim sering nurunin tumpang sblm tuju sering marah genit bgt sama tumpang cewek enak gojek sama grab byee,0.0
layan sangat ramah driver nya,1.0
baikramah pokok super mantul,1.0
cari driver skrg susah minta ampun lama banget sekali nemu kalo g suruh batalin bicara kasar,0.0
terimakasih antar baik driver baik,1.0
ramah baik,1.0
sopir nya baik ramah mobil nya bersih,1.0
mantappp keren aman,1.0
aplikasi oke pesan taxi online,1.0
login susah apknya buat login,0.0
pesan maxim gk kemudi batal dy ambil barang antar alamat tuju minta ongkir lebih yg app maxim hati buat teman mau pakai maxim,1.0
paling susah kalo cari driver mobil apa hujan mau naik harga x tetep ajah susah padahal maps banyak driver dekat nya,0.0
baik,1.0
apa nih gak opsi batal pesan pilih cuman ubah order,0.0
ga ngerti cara pesan makan maxim,0.0
aplikasi ababil driver kena langgar berat gantung emang maxim mau gantung driver maxim fix kompeni,1.0
delivery donat ulang tahunmalah hancung tulis ucap hilang,0.0
kerja bagus kak,1.0
aplikasi maxim error tampil jalan aplikasi tumpang error,0.0
ramah,1.0
sopir nya ramah,1.0
benar bagus banyak driver beda aplikasi aplikasi laku verifikasi muka segera baik,1.0
ramah abgnya,1.0
sorry gw kasih bintang gw pernah jadi naik driver mabil maxim eh ac nya ga dinyalain lah gw kan sen taxi biar dingin klo gak sama aja kyak angkot aplikasi ga pilih ngasih rating driver jadi gw minta maxim bikin fitur rate driver kyak aplikasi ojol biar kontrol attitude kualitas driver gw gak rekomendasiin kalian buat naik mobil maxim ngasih fitur beri rating driver macam ojol belah utk nilai driver,1.0
unistal aplikasi jelek,0.0
bagus,1.0
jangan coba topup cashless nya kaspro topup malah ngurangin tiba saldo gilir mau order tiba uba sendiri jadi cash padahal pilih cashless pakek walet kaspro parah,0.0
top,1.0
driver sangat ramah,1.0
aplikasi jelas mending tetangga nya,1.0
maap pak gak jadi,0.0
aplikasi busuk banget susah login koneksi internet,0.0
bapak gk banyak protes,0.0
kemudi nya macam pepek semua ngambil order gak gerak udah menit lebih org nunggu tak gerak jadi lambat org mau kerja ajg,1.0
baik sangat berhatihati dlm berkrendara,1.0
apaapa aplikasi pesan main tentu sendiri nya aplikasi sampah,1.0
terimakasih,1.0
supirnya kurang sopantidak layan baik,0.0
titik gak jelas,0.0
pertama kali aku pake maxim aku langsung dapet driver baik sopan banget sesuai sama apa aku ken pake bhs jawa alus trus fokus kendara ga ngajak aku basa basi poin pentinggg udah tua positif vibes kalo aplikasi belah gatau bawa risih terus akuuu mohon maap,1.0
puas,1.0
sbg tumpang kecewa sekali dgn taxi maxim yg kata byr lwt nontunai maxim wallet malah mud gatau cara tarik tunai ga terima bayar non tunai kira yg nipu krn gamau ribut akhir sy bayar x boss untung yg mau daftar maxim jd kemudi seleksi bener org yg kudet teknologi mmg aplikasi wallet maximnya yg susah buat tarik tunai mau complain suruh dtg kantor wah malah ribut ntr sana terima complain lwt sosmed kata,0.0
login kode otp tdk kirim baik lalu sms memang ditlp tpi cs bisu tdk ksi kode otp sy tdk login kirain pulsa tdk krim kode otp umsk sms kode otp tahu memang msk kode otp ditlp mlah tdk bicra apa cs maxim,0.0
makin dipake makin mahal gaada potong harga buat langgan setia,0.0
baik,1.0
aplikasi bantu sulit dapat driver dapet udah mau sampe titik jemput malah lenceng terus banyak alesan jemput nya baik,1.0
sangat bantu,1.0
driver minta cancek,0.0
bagus nunggu nya lama,1.0
sangat ramah,1.0
driver melarat argo murah sering error,0.0
good job,1.0
layan nya sangat baik,1.0
joss cepat aman,1.0
bagus cepat,1.0
sangat bagus,1.0
puas layan sopir bagus ramah recommended yg butuh cargo maxim gk kecewa ayooo pakai cargo maxim,1.0
maaf yah aku ksih bintang kalaupun bintang gw bakal ksih bintang emang wktu milih driver maxim gk seleksi yahhhh driver nya rata ganjen yg driver mobil hdehhh ganjen bgtt jing,0.0
bagus,1.0
halo guna susah laku komunikasi jemput tanbahkan fitur kirim foto lebih tahu posisi masing masing,0.0
kecewa smmaxim driver kaga sopan awal nanya baik posisi dmna malah nyolot si driver minta cancelok fine sy cancel mau sen dapet driver yg smlg smpe x order kaya sengaja ga ijinin nyari driver yg udah gitu kurang ajar lg ngomongnya ga etika,1.0
susah banget buat bayar nontunai nya ribetttsaya udh isi waletkaspro nya malah d blokir gak d pake banyak banget aplikasi nya yg d download pokok ribet,0.0
skem tolol,0.0
makasih bang ganteng,1.0
abg maxim nya asik sih,1.0
apa orang mau mesen g anter anter bang yg bener aje cok mau eskrim momoyo,1.0
bintang apk ga jelas,0.0
baik bangettt,1.0
gbs daftar sulit login ribet,0.0
baik,1.0
maf d uinstal lgpercuma kmren mlm daftar udh nomer ga d kirim kodeymslahy apa ga jls,0.0
sangat bantu jalan lebih mudah moga harga tetap jangkau,1.0
mantap,1.0
baik,1.0
baik,1.0
aplikasi jelas sistem nya ribet susah baik sistem batal order nya,1.0
sangat baik,1.0
driver ramahsabarsmoga rejekinya lancar,1.0
isi saldo maxim wallet bukti transfer saldo nya gak masuk masuk mohon bantu nya,1.0
aplikasi nya buruk masa baru download udah tbtb sen ajah terus bicara baik malah minta ganti rugi,0.0
kecewa banget,0.0
cukup murah responsif,1.0
apa gue udah ketik sampe mo botak alamat tuju gue kaga ujung musti gue cari sendiri pas dah dpt titik gue tekan g mau muncul mau lo apa plis stress gue telat cuma grgr cari lokasi nyebeli allah suer,0.0
kadang eror sendiri mohon baik soal sangat susah banget maxim tiba tiba eror sendiri pas gk jemput,0.0
aplikasi ga guna udah dpt driver nunggu lama malah keluar akun gt aja pas login ga kata bakal pesan masuk ga masuk ga,0.0
kamis hey gojek stop live how batamnews are looking for something that good not maxim sad ending bad ending no bukan untuk ikut no,0.0
keren,1.0
nyaman aman,1.0
jaga tatakramanya driver saudara perempuan trauma takut akibat sering tanyatanya aneh udh punya pacar lah tempat tinggal dmn lah minta wa nya lahdll kalo jadi ojek udah pokus aja kerja ngomong wajar aja,0.0
layan driver ramah ga ajarin sama pihak aplikatornyamaps susahga mau kluar modal krja sama google mapsmau untung doang nih aplikasi selamat tumpang kaya abai mending pake jamin keselamatanbuat apa murah ongkos nya layan yg baikpake aplikasi yg aja lahjelas lebih aman respon adu jga cepet aplikasi yg,1.0
layan sngt baik cepat,1.0
bagus,1.0
ramah baik,1.0
luar biasa herecep mantap poko,1.0
drivernya wangi ganteng hehe,1.0
mohon maaf salah pesan,0.0
muas maximnya sesuai titik jemput nya gak pake ribet,0.0
baik,1.0
driver sangat ramahtrim kk,1.0
kaspro nya payah masak cuma isi pernah pakai potong saldo bahkan cukup bulan isi biaya minggu gimana mana pemberitahuan kalau saldo potong nama kooperatif masa iya buat layan transparansi rugi isi semua driver pakai kaspro niat mau cashless malah tunai layan pilihin kemudi pakai kaspro asal comot aja kesel pakai aplikasi,0.0
sangat baik,1.0
okay,1.0
aplikasi bung jelek,0.0
baik ramah,1.0
baik,1.0
bagus,1.0
oke aja,1.0
supirnya mantap bosque,1.0
klo ngga ngasih bintang mending ngga ngasih jelek banget layan maxim mobile ehhhh sopir sulit cari alamat koq tumpang minta bayar biaya tunggu macam emis aja cara payah klo ngga tau jalan mending ngga usah jadi driver,0.0
sangat baik respon,1.0
orangy baik hati tumpang,1.0
ramah enak bawa mobil sabar,1.0
bagus kerja nya,1.0
aplikasi bagus baikcuma mesan tiba tiba batal sama kemudi rugi sekali,1.0
sangat ramah baik,1.0
baik alamat nya buat sen maxim,1.0
drivernya mesum njir takut banget udah berapa kali yg kayak gitu,0.0
baik ramah banget orang,1.0
orang baik,1.0
males sama drivernya gak bener nomor plat beda sama yg apk eh malah yg disalahin gak manggil lucu kali gak deh pakek maxim,0.0
ramah sepeda yg motor nmax,1.0
good,1.0
baik banget drivernya,1.0
goof,1.0
bagus,1.0
nyusahin,0.0
makin sini kerja bukan orang butuh orang gabut doang alhasil kerja suka suka aja knalpot brong stiker modif supirnya gak punya otak ga paham maxim jelek skrng,0.0
driver nya asik music nya enak,1.0
susah kode verifikasi,0.0
best,1.0
layan ramah sekali hemat jangkau kemudi ramah,1.0
banyak order fiktif tp gaada tindak lanjut payahh,0.0
sangat bagus,1.0
login selalu lama susahh,0.0
terimakasih percaya,1.0
sangat baik,1.0
cukap baik,1.0
driver mantap cekat dpt order lngsng wuuzzz nyamle,1.0
senang,1.0
baik titik pesan jadi bayar lebih mahal cuman gegara,1.0
sangat ramah,1.0
driver ramah amanah,1.0
susah banget ngatur alamat udah gitu harga perak kaya ritel jadi tanggung lebihin mulu,1.0
puas,1.0
mantap,1.0
baik,1.0
supirnya nolak terus udah gitu udah kasih alamat sesuai aplikasi masa titik jauh banget dr asli auto suruh ganti rute jadi x bayar nambah bayar jadi rugi emang murah gak banget mana kalau macet ngomongnya gak enakngasih saran sy sruh batalin kalau udah tau macet,1.0
top,1.0
makasih om gacor sehat selalu,1.0
bapak baik sekali sehat terus bapak nya moga makin lancar order nya,1.0
maap nya ga lengkap,0.0
driver baik sopan,1.0
sangat muas playanan tepat waktu jemput,1.0
aplikasi ribet sekali mau pesan koh sulit,0.0
gk jelas saldo non tunai potong tpi bayar tunai lgiaph lh coba bgtuh,1.0
isi kaspro kok ga masuk ga admin yg bs d hubung susah,0.0
order penuh mohamad alvan setiawan sh hyundai atos warna biru nopol agck terima kasih atas jalan rating,1.0
order penuh rizky muhammad rahman motorcycle warna hitam nopol ktkr terima kasih atas jalan rating,1.0
driver top,1.0
bagus,1.0
sangat bantu jasa angkut mantap,1.0
baik ramah,1.0
nice,1.0
order sering dicancel driver upgrade aplikasi biar bayar metode cashless banyak driver ga punya duit buat nalangin pesan ujung ujung dicancel sangat kecewa,0.0
mantap,1.0
aplikasi bagus mohon baik atas koneksi padahal jaring bagus gak mau buka aplikasi,1.0
terimakasih pa,1.0
order penuh muhammad asnur karim motorcycle warna hitam nopol dtdr terima kasih atas jalan rating,1.0
aplikasi baik terima kasih maxim,1.0
dong driver kalau pakai voucher kasi tau jangan main nyolot bilang biaya kurang gmn si maxim,0.0
lumayan cuma banyak kurang,1.0
mobil bagus nyamansopirnya sahabat,1.0
kemudi ramah cepat layan,1.0
akurasi map kurang driver lama gara map nya jelek bgt akurasi titik ga sesuai dong baik,0.0
alhamdulillah ketemu supir ramah baik sopan semangat terus bapak,1.0
cari sangat lama meski naik harga tawar,1.0
layan bagus,1.0
udah ngisi maxim wallet rb saldo ga masuk aneh banget rugi anjir masa iya pertama kali pake pertama kali ngisi saldo ilang,0.0
baru download langsung coba eh nyata biaya nunggu padahal udah pencet keluar harga beda aplikasi pas sen udah tuju aku langsung uninstall mending naik gojek titik jemput ribet,1.0
bagus,1.0
baik drivernya maaf tas obat dokter tinggal dibegasi,1.0
good ramah tamah,1.0
baik,1.0
ramah sopan,1.0
mantap,1.0
baik,1.0
nice terimakasih pak,1.0
keren,1.0
mantap,1.0
kemudi sangat ramah,1.0
mantap aplikasi maxim transportasi umum yg sangat murah gak kaya aplikasi yg belah mahal banget padahal jarak yh gk jauh titik jemput tuju,1.0
susah buka nya,0.0
kendara driver sangat layak operasi guna pihak maxim selektif,1.0
lama cari laksana kalo utk pesan makan,1.0
layan baik,1.0
percuma top up tp gabisa kepake kaspro ny,0.0
kaspro gak jelas,0.0
banyak driver ikut sop motor daftar sesuai sama pakai bahaya tumpang tindak baik,1.0
apk gblok bru jga dwonload lah limit kode verifikasi setan,0.0
maxim tolol ngisi saldo kapan masuk kapan mana gabisa ganti metode bayar rugi x lipat akhir kali make ni app tolol,0.0
driver baik ramah kemudi aman,1.0
sangat puas,1.0
kalau mampu buat aplikasi tutup aja order kaga bagi saldo top up atribut beli,1.0
aplikator busuk tempel iklan percis d fasat rumah pcs rumah br selesai cat rusak lg gr kalian,0.0
bagus cepat tanggap,1.0
td pagi tabrak driver maxim lindas kaki ku kaca spion pecah kap lampu pecah eh kabur padahal langgan setia aku bukan menyamaratakan laku semua driver maxim tp udh ga mood pake maxim tq,0.0
bawa motor kalem,1.0
sangat benci sama driver mobil selalu tambah uang walaupun mampir sebentar toko udah kembali pernah beri,0.0
beli antar kata bapak kau layan aneh dasar ongkos murah saing tak sehat kau,1.0
kesana kesini terus cepat murah jangkau seru pokok aku suka naik maxim pokok percaya banget,1.0
maps nya lebih sulit ngaturnya kalau pesan gocar dapat yg jarak selalu jauh jadi lama banget nunggu nya,0.0
driver nya ngeluh sama kasihan sama driver nya harga terlalu murah driver mobil harga ratus sekali dpat order cuman ribu,0.0
mantappp trimakasih antar denga selamat tuju,1.0
kendara sangat bagus,1.0
susah buat nyari alamat yg tuju kurang canggih map nya,1.0
mantap,1.0
mantap,1.0
sangat baik,1.0
mantap,1.0
pihak developer paksa cancel padahal cust sama driver sepakat kalau cancel parahhh beda dg apk belah,0.0
order penuh kristiando tumanggor motorcycle warna biru nopol bmrx terima kasih atas jalan rating,1.0
driver nya wangi nyaman sesuai sampe tuju cepat,1.0
apk apa sih cok order car udah cancel,0.0
sangat manfaat sekali,1.0
order penuh roy delmax vin h talas motorcycle warna putih nopol dtwf terima kasih atas jalan rating,1.0
kpd yth maxim indonesiasy mhn ikan kode otp maximojek transportasi online sy,1.0
aplikasi jelek mending si ijo belah,0.0
erorr mulu bakal tinggal tumpang kalo begini terus,0.0
ga login sama ga kirim kirim kode verifikasi pagawainya malas,0.0
baik,1.0
bagus layan,1.0
mantap,1.0
maxim sangat bagus murah aman jalan,1.0
aplikasi jelek,0.0
suka layan nya,1.0
cepat kilat sampe tuju berkah selalu amiinn,1.0
driver jelek banget masa ngantar tumpang tengah jalan alas krna krna gk licin jalan nh padahal jalan ny bukan tanah trs ngira harga ny cuma trs cerita klo jauh pramuka bnyk banget alas ny kn sen y pulang malah responnya gk suka banget situ pulang malam trs hujan mknya sen maxim sama ibu biar gk hujan malah turunin tengah jalan mending sen gocar aplikasi belah maxim,0.0
tiba error gaje,0.0
mantap,1.0
matur ssnget mbkdriver ramah,1.0
baik,1.0
development aplikasi kalau bikin rute cerdas dikit jangan asal rute dekat jelas malah bikin rute mutermuter aplikasi online paling konyol,1.0
uang nyangkut kaspro tiap order pakai wallet nya ga mau trima,0.0
terima kasih kk,1.0
sangat baik sopan mud sangat hati bawa penumpangnyasangat baik order penuh ade chandra putra motorcycle warna hitam nopol ddxy terima kasih atas jalan rating,1.0
jelek banget pas isi e wallet gak masuk dah gitu potong banyakhabis naik pakai tunai baru masuk sekarang mau pakai e wallet malah gak kasih kode minta habishaduh pusing dah pakai maxim,0.0
fitur gila gabisa cancel bikin panik,1.0
puas,1.0
kesel bgt ngasih tip driver rbtaunya gk masuk saldo drivernyesel tpo up kasprouangya udh potong padahaltolong lebih tingkat lg,0.0
sangat senang,1.0
aplikasi gila driver lo nolak order guangapa jadi akun gua yg blokir idiot gk usah make maxime aplikasi sinting,0.0
sangat nyaman,1.0
good,1.0
mam nya full hitam lokasi benar nama tempat rumah tuju jujur nya say aingin kasih reting bintang,1.0
bapk maxim nya ramahbaik,1.0
sangat puas terima kasih,1.0
alhamdulillah selamat trima kasih abang ojek,1.0
bagus sekali,1.0
sangat bagus,1.0
kemudi kendara nyaman aman,1.0
driver yg minta ganti rugi gara mobil senggol kerupuk gimana tuh,0.0
sangat baikramah,1.0
rekomended,1.0
mantap lah,1.0
capek banget tiap mau pakai maxim wallet selalu batal sama sistem lot banget asli,1.0
bagus penting kalau kargodiskusi deal angkuttak bagus angkut dulu deal belakang,1.0
tentu titik antar jemput nya makin payah ga jelas,0.0
download maxim waktu login masuk nomor beberapa kali beri kata sandi,1.0
fitur susah ga kayak aplikasi selalu ribet jadi kurang tepat,0.0
maxim parah loh aplikasi harus tp supirnya minta udah nurunin ga lokasi pulaa,0.0
batal tau,0.0
sangat bagus aplikasi,1.0
bagus banget cepat ramah driver nya,1.0
this driver very good,1.0
baik asik,1.0
jadul hari gin gak kirim foto lewat chat map nya gak akurat bikin salah paham sama driver mulu,0.0
mau pesan apa kok lama yahh ambil orderanx smpe hrus nunggu jam msih terima milih order apa gimana nih klau emang ongkirnya kurang makanya gak yg mau ambil yahh naikin aja lahh,1.0
order pick up sama driver nya hubung gak lama tunggu gak datang mana aplikasi nya gak mantau jalan pramudi beda sama tetangga nya pantas maxim gak minat nya parah,0.0
maaf kasih bintang satu pernah alami nyaman kendala pakai aplikasi maxim titik jemput jelas jadi debat driver mohon maaf kali tdk pakai maxim harga murah timbul ketidaknyamanan lebih baik cari aplikasi jelas,1.0
biaya apk tera si driver minta bayar k bapak drivernya bilang kalo nggk bayar k nggk mau nganter malah nyuruh jalan kaki nama driver yuris gunawan nopol ab sj,0.0
mantap,1.0
bagus,1.0
gabisa pake buat bayar makan,1.0
rusak aplikasi masa order nya dpt drivernya jarak menit titik jemput dibenerin sistem,0.0
aplikasi ruwet gak kayak yg lain tuju baca,1.0
terimakasih pak,1.0
aplikasi baik buat sen makan nyari driver nya lamaaa banget mau dibatalin pesan gak sekali dapet driver restonya susah cari driver dateng gak bawa pesan bayar tetep bayar kenyang,0.0
aplikasi sampah ga ngotak driver nya ketus kendara main hp,1.0
sangat bagus,1.0
good,1.0
peyanan yg prima sukses selalu,1.0
mau login aja susah bener nunggu kode otpnya sampe jam ga masuk ulang kali coba ga,0.0
kalau bisaaa driver maxim test lagidehhh cara baca mapsssudah kali selalu kesel tiap tungguin drivernya lebih mwnit tunggu selalu nyasarpadahal jelas jelas rinci alamat rumah paham jugaa,0.0
tanggap nya cepat,1.0
buat login aja gk,1.0
dukung ibu bawa kerupuk palak driver arogan,1.0
betulin drivernya profil beda sama mud gimna mau aman tolong tip dulu drivernya,1.0
mantap,1.0
jelasmntak nomor tlpon kasih,1.0
lama pesan kendara driver pernah benar selalu kecewa,1.0
mohon baca orng tasik sen maxim driver lama datang harga maxim jadi tambah padahal salah driver langgan rugi kan inisial driver alex mohon baik jangan rugi langgan,1.0
anehh pesan maxim malahh pesan sendiri alamat biasa yg tuju aneh beda nama yg panggil chat driver erorr hack segera baik sangat rugi,0.0
terima kasih barang tiba baik,1.0
apk gak jelas driver nda muncul muncul,0.0
baik sekalisenang layan baik,1.0
pesan ojek maxim lalu drivernya bilang sedang makan suruh cancel aja kalau lama lalu cancel drivernya malah marah nyalahin bilangin kalau maxim bukan supir pribadi lah kalau sen jangan mepet waktu lah padahal driver sendiri salah minta ambil order kalau sedang makan punya hak atur customer kapan pesan ojek maxim,0.0
sangat ganggu,0.0
cepat baik,1.0
mantap,1.0
tipu smp ymik,0.0
banget drivernya seleksi baik order selalu driver ga bener ugal ugalan driver yg ganjen dapat laku sopan,0.0
ramah,1.0
kemudi nya ramah trus bawa kendara nya jg enak jd nya nyaman kendara,1.0
layan sangat baik,1.0
maxim harus sosialisasi dulu driver kalo sekarang wallet kaspro banyak drivernya ga tau bayar via non tunai malah drivernya minta bayar pake tunai meski walletnya udah potong krn si bapak ga tau gimana cara ambil uang kalo bikin bijak harus semua drivernya edukasi dulu yg rugi,0.0
tepat waktu komunikasi baik ramah,1.0
apk aneh udh dicancel ttp aja gabisa maksa bgt,0.0
baik,1.0
terimakasih,1.0
izin sampai keluh mitra driver maxim car mohon it maxim update rute jalan yg beri lewat mobil jangan ambil rute lewat motor mangkas jarak minimal argo banyak software referensi it lihat rute sebut lalu mobil terimakasih,1.0
driver ga cancel jadi dapet konfirmasi cs dulu lah kalo cs yg niat ngerjain ampe kiamat ga bakal cancel pihak aplikator paham kondisi driver,0.0
sangat baik,1.0
oke,1.0
top sat set,1.0
sngat baik,1.0
sangat baik,1.0
lama guna aplikasi tiba minta kode lebih x minta kode kode kirim hp pilih metode telepon telepon mohon bantu,1.0
nyamandan selamat tuju sehat selalu buat abg nya,1.0
baik,1.0
supir ramah baik mantapp,1.0
driver ramah,1.0
ramahmenaik kan harga ribu jadi ribu,1.0
baik flat nkb nya sesuai,1.0
baik,1.0
aplikasi macam apa mau masuk aja ga kode otp nya ga muncul,1.0
sangat baik,1.0
aman sejahtera,1.0
banyak driver curang,0.0
ojek online rasa budak jangan instal adil driver sangat manusiawi budak balut ojolharga sangat murah untung buat aplikasi tp rugi buat driver selalu rasa zalim ridak sesuai dgn jarak bbm yg keluar kalau kalian tetap instal arti kalian ikut tanggungjawab dgn biadab,0.0
susah banget komunikasi sama driver informasi driver minim susah mau hubung gak nmr tlp driver titik lokasi kurang lengkap banyak alamat gak susah mau pakai,0.0
positif mas baik,1.0
psn makan tdk smpi sdh byr gopay atas minta driver sy baru pertama kl mengunakan driver tp sdh kecewa,0.0
mantap,1.0
tengah jam lebih nunggu drever hujan an gak mau nerima order sangat sangat ramah apk apa,1.0
pliis kirim otp kali kali ga masuk nomer aktif sinyal bagus kempatan udah habis baru kirim kode otp masuk sempat habis gimana siih laah,1.0
sangat puas,1.0
driver sangat ramah,1.0
lokasi knapa akurat beda kayak aflikasi grab sama gojek,1.0
terimakasih,1.0
mantap,1.0
ramah sopan,1.0
usaha dzalim ente kalo mau nyusahin orang dunia sok etah ente bakal siksa neraka kelak dzalim driver ente bikin sistem ngerugiin driver mulu mikir pake otak napa udh dimatiin akun nya ujuk dapet order trs driver kena imbas karna egois kedzaliman ente ente percuma ente sembahyang kalo nyusahin orang kerjane matiin rezeki orang nama bakal haram gaji mu cam baikbaik,0.0
bm vf yg minta ganti rugi,0.0
baik sekali,1.0
abg nya ramah baik,1.0
sangat ramah,1.0
aplikasi ojol yg sangat membantuharga lebih ramah kantong yg laindriver profesional ramah,1.0
jemput tepat waktu sopir ramah sopan,1.0
mantap,1.0
pas order menit gilir tiba malah diem titik terima order batalin mlh dpt driver yg tadi gak jelas bgt dah ko org yg gak kerja acc aja gak becus bgt sih gak bgt ih kalo buru deh mending pakai apk yg lebih bagus,1.0
driver maxim tipu suami kena scam tarif aplikasi rb minta uang rb biaya parkir padahal biaya parkir rb suami ngga tau bukan warga tempat,0.0
supir ojek ramah,1.0
awal slalu suka sama apk inipertama kali nyoba baguss bgtt baru kok gabisa nemuin alamat disitupadahal kalok cari maps adatapi pas cari maxim alamat gaadatolong baik mula fiturnya dah nyaman bgt pake inieh malah fiturnya berubahdah pindah apk gojek,1.0
baik,1.0
terima kasih maxim memang tepat cepat,1.0
usut driver minta ganti rugi rb ibu ibu,0.0
aplikasi ga jelas sumpah,0.0
ramah sekali terima kasih pak sehat selalu,1.0
terima kasih,1.0
semua driver rata kembali pagi saat warung buka mau nyari kasih solusi driver plat bg adg x dapet ga pernah kembali nuker mau apa mau usaha sama sekali,1.0
maxim kaspro parah driver maxim padang nama stevandra dhovany minta bayar tunai alas duit masuk akun direfresh kali padahal anak sdh bayar pakai kaspro jadi bayar kali jadi modus driver biar dpt bayar dobel,0.0
tepat waktu mantap,1.0
aneh jadi gak loginaplikasi apa,0.0
bagus sekali,1.0
terimakasih,1.0
buruk sekali sistem kaspro,0.0
isi saldo rb malah msuk rbaneh gamau top up lg,0.0
jelek bgt mlssss,0.0
layan muas mohon maaf jadi,1.0
sangat nyaman,1.0
driver mobil nya kalo tengah malam kurang ajar minta tambah biaya lewat padahal tetap kasih lebih cuman nya patok terlalu banyak,1.0
pernah order maxim jangan takut data antar lengkap damping map tuju,1.0
baik jalan layak,1.0
sangat bagus,1.0
sinyal bagus gak buka,1.0
seruu baik ramah,1.0
baik,1.0
knpa ga login si,0.0
kemudi pesan banyak gak jelas ditungguin malah bawak tumpang offline,0.0
baik,1.0
drivernya salah bawa orang bantu selesai driver client lebih mudah saling nali utama bagi map,1.0
sangat buruk kemudi nya milih milih argo,0.0
abang baik sopan,1.0
batal gak klik pesan double malah gak klik batal,0.0
sangat bagus,1.0
halte area tunggu gojek sedikit area tunggu maxsim banyak nunggu nya trotoar moga driver maksim sedikit manusia kan order sepi driver rame batas driver apk kator cuma focua jual atribut,0.0
aplikasi percaya kecewa driver bertanggungjawab pihak maxim beri sanksi kembali uang customer alas barang antar padahal barang pernah hingga bahkan bukti kirim tetap ganti rugi pihak maxim alas tanggap driver alas macam apa,1.0
kurang aplikasi eror mulu mau login format no hpnya malah error padahal udh bener masukin format udh telat kerja malah bikin emosi lebih harga jangkau beda yg beda k,0.0
mantap,1.0
apk banyak error nya payah maxim,0.0
error gak login,0.0
tingkat sistemnyaagar orang buat order beri izin hubung nomor banyak punya hati suka buat driver tunggu ujungujungnya batal order alas yg jelassemoga segera baik dengar keluh driver,1.0
kok ga cancel gimana,0.0
orang usaha malah maintenece jam sibuk goblog teh,0.0
